"CaptureBase_AbandonedFactory.contractName";"Abandoned Factory";"Abandoned Factory";;;
"CaptureBase_LogisticsDepot.dialogueList1.dialogueContent1.words";"We're ready to pull you out of there.";"We're ready to pull you out of there.";;;
"CaptureBase_LogisticsDepot.dialogueList1.dialogueContent2.words";"I suspect {TEAM_EMP.FactionDef.ShortName} will be very pleased with this haul.";"I suspect {TEAM_EMP.FactionDef.ShortName} will be very pleased with this haul.";;;
"CaptureBase_LogisticsDepot.dialogueList2.dialogueContent0.words";"This is a disaster. I'm calling it; pack it in, Commander.";"This is a disaster. I'm calling it; pack it in, Commander.";;;
"CaptureBase_LogisticsDepot.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_LogisticsDepot.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_LogisticsDepot.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_LogisticsDepot.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_LogisticsDepot.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_LogisticsDepot.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_LogisticsDepot.dialogueList8.dialogueContent0.words";"What the hell? There's no garrison. ... Wait, we're getting something.";"What the hell? There's no garrison. ... Wait, we're getting something.";;;
"CaptureBase_LogisticsDepot.dialogueList8.dialogueContent1.words";"Commander, it looks like the garrison was on patrol, and they're on the way back. Get ready for multiple contacts.";"Commander, it looks like the garrison was on patrol, and they're on the way back. Get ready for multiple contacts.";;;
"CaptureBase_LogisticsDepot.longDescription";"This should be straightforward. Move up, recon the depot, and then occupy it. Once we secure the area, {TEAM_EMP.FactionDef.Name} will send in their people to loot the place.";"This should be straightforward. Move up, recon the depot, and then occupy it. Once we secure the area, {TEAM_EMP.FactionDef.Name} will send in their people to loot the place.";;;
"CaptureBase_LogisticsDepot.objectiveList0.title";"Scout the Depot";"Scout the Depot";;;
"CaptureBase_LogisticsDepot.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Garrison";"Destroy the {TEAM_TAR.FactionDef.Demonym} Garrison";;;
"CaptureBase_LogisticsDepot.objectiveList2.title";"Occupy the Depot";"Occupy the Depot";;;
"CaptureBase_LogisticsDepot.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_LogisticsDepot.objectiveList3.title";"Capture & Hold Depot";"Capture & Hold Depot";;;
"CaptureBase_LogisticsDepot.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_LogisticsDepot.objectiveList4.title";"Pacify the Area Around the Base";"Pacify the Area Around the Base";;;
"CaptureBase_LogisticsDepot.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_LogisticsDepot.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_LogisticsDepot.shortDescription";"We've been tracking the movement of several {TEAM_TAR.FactionDef.Demonym} convoys, and that's allowed us to pinpoint their destinations: a hidden, well-defended logistics depot. This facility is a key supplier for  {TEAM_TAR.FactionDef.Demonym} forces in this region, and taking it from them will significantly damage their efforts against us. We'd like you to drop in, take the depot, and hold out against any enemy reinforcements.";"We've been tracking the movement of several {TEAM_TAR.FactionDef.Demonym} convoys, and that's allowed us to pinpoint their destinations: a hidden, well-defended logistics depot. This facility is a key supplier for  {TEAM_TAR.FactionDef.Demonym} forces in this region, and taking it from them will significantly damage their efforts against us. We'd like you to drop in, take the depot, and hold out against any enemy reinforcements.";;;
"CaptureBase_NineTenthsOfTheLaw.contractName";"Nine-Tenths of the Law";"Nine-Tenths of the Law";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList0.dialogueContent0.words";"The {TEAM_TAR.FactionDef.Demonym} facility that we're here to capture should be just ahead, Commander.";"The {TEAM_TAR.FactionDef.Demonym} facility that we're here to capture should be just ahead, Commander.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList0.dialogueContent1.words";"Before we go for the base, we should get eyes on the enemy - the positioning of their garrison, and ideally the layout of the base itself.";"Before we go for the base, we should get eyes on the enemy - the positioning of their garrison, and ideally the layout of the base itself.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList0.dialogueContent2.words";"Remember, that base is our payday, and our {TEAM_EMP.FactionDef.Demonym} employers want it intact. Good hunting, Commander. Oliveira out.";"Remember, that base is our payday, and our {TEAM_EMP.FactionDef.Demonym} employers want it intact. Good hunting, Commander. Oliveira out.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList1.dialogueContent0.words";"The base is ours, Commander.";"The base is ours, Commander.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList1.dialogueContent1.words";"We're ready to take you out of there.";"We're ready to take you out of there.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList1.dialogueContent2.words";"Sit tight, the employer will be very pleased with this haul.";"Sit tight, the employer will be very pleased with this haul.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList2.dialogueContent0.words";"We won't be able to take this one. Pack it in, Commander.";"We won't be able to take this one. Pack it in, Commander.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList6.dialogueContent0.words";"Leopard inbound, Commander! Get to the LZ for evac, I'm coming in hot!";"Leopard inbound, Commander! Get to the LZ for evac, I'm coming in hot!";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList7.dialogueContent0.words";"Word of warning, Commander: this base is likely to be defended by point defense turrets.";"Word of warning, Commander: this base is likely to be defended by point defense turrets.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList7.dialogueContent1.words";"I can't tell you what their operational range is likely to be, or what armaments they're going to carry. Just... be careful. Oliveira out.";"I can't tell you what their operational range is likely to be, or what armaments they're going to carry. Just... be careful. Oliveira out.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList8.dialogueContent0.words";"You should have a clear view of the {TEAM_TAR.FactionDef.Demonym} facility now, Commander.";"You should have a clear view of the {TEAM_TAR.FactionDef.Demonym} facility now, Commander.";;;
"CaptureBase_NineTenthsOfTheLaw.dialogueList8.dialogueContent1.words";"Keep your eyes peeled for enemy reinforcements. I have reports of additional {TEAM_TAR.FactionDef.Demonym} contacts in the area, and they're likely to rally back to the base when it falls under attack. Be ready for them.";"Keep your eyes peeled for enemy reinforcements. I have reports of additional {TEAM_TAR.FactionDef.Demonym} contacts in the area, and they're likely to rally back to the base when it falls under attack. Be ready for them.";;;
"CaptureBase_NineTenthsOfTheLaw.longDescription";"The legal justification here sounds sketchy, Commander, but we're mercenaries, not lawyers. As long as they're happy, we get paid.";"The legal justification here sounds sketchy, Commander, but we're mercenaries, not lawyers. As long as they're happy, we get paid.";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList0.title";"Scout the {TEAM_TAR.FactionDef.Demonym} Base";"Scout the {TEAM_TAR.FactionDef.Demonym} Base";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Force";"Destroy the {TEAM_TAR.FactionDef.Demonym} Force";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList2.title";"Occupy the {TEAM_TAR.FactionDef.Demonym} Base";"Occupy the {TEAM_TAR.FactionDef.Demonym} Base";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList3.title";"Hold for enemy contact";"Hold for enemy contact";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_NineTenthsOfTheLaw.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_NineTenthsOfTheLaw.shortDescription";"We've learned that {TEAM_TAR.FactionDef.Demonym} forces have constructed a forward base on {TGT_SYSTEM.name}, ignoring the express wishes of the local government. Naturally, the planetary governor is furious, but he can't make a stand against {TEAM_TAR.FactionDef.Demonym} BattleMechs without assistance; {TEAM_EMP.FactionDef.Name} has offered that assistance. You are to seize control of the {TEAM_TAR.FactionDef.Demonym} base and hold it until we gain a legal claim to the facility. We will then sell it back to the {TGT_SYSTEM.name} government at a considerable discount.";"We've learned that {TEAM_TAR.FactionDef.Demonym} forces have constructed a forward base on {TGT_SYSTEM.name}, ignoring the express wishes of the local government. Naturally, the planetary governor is furious, but he can't make a stand against {TEAM_TAR.FactionDef.Demonym} BattleMechs without assistance; {TEAM_EMP.FactionDef.Name} has offered that assistance. You are to seize control of the {TEAM_TAR.FactionDef.Demonym} base and hold it until we gain a legal claim to the facility. We will then sell it back to the {TGT_SYSTEM.name} government at a considerable discount.";;;
"CaptureBase_OrdnanceDepot.contractName";"Ordnance Depot Capture";"Ordnance Depot Capture";;;
"CaptureBase_OrdnanceDepot.dialogueList0.dialogueContent0.words";"Commander, I'm not picking up any active hostiles, anywhere. The place looks deserted.";"Commander, I'm not picking up any active hostiles, anywhere. The place looks deserted.";;;
"CaptureBase_OrdnanceDepot.dialogueList0.dialogueContent1.words";"Let's move up and recon the facility.";"Let's move up and recon the facility.";;;
"CaptureBase_OrdnanceDepot.dialogueList0.dialogueContent2.words";"Once we know what we're dealing with, we can move in and occupy the depot.";"Once we know what we're dealing with, we can move in and occupy the depot.";;;
"CaptureBase_OrdnanceDepot.dialogueList1.dialogueContent0.words";"The depot is ours, Commander.";"The depot is ours, Commander.";;;
"CaptureBase_OrdnanceDepot.dialogueList1.dialogueContent1.words";"We're ready to pull you out of there.";"We're ready to pull you out of there.";;;
"CaptureBase_OrdnanceDepot.dialogueList1.dialogueContent2.words";"I suspect {TEAM_EMP.FactionDef.ShortName} will be very pleased with this haul.";"I suspect {TEAM_EMP.FactionDef.ShortName} will be very pleased with this haul.";;;
"CaptureBase_OrdnanceDepot.dialogueList2.dialogueContent0.words";"This is a disaster. I'm calling it; pack it in, Commander.";"This is a disaster. I'm calling it; pack it in, Commander.";;;
"CaptureBase_OrdnanceDepot.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_OrdnanceDepot.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_OrdnanceDepot.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_OrdnanceDepot.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_OrdnanceDepot.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_OrdnanceDepot.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_OrdnanceDepot.dialogueList8.dialogueContent0.words";"What the hell? There's no garrison. ... Wait, we're getting something.";"What the hell? There's no garrison. ... Wait, we're getting something.";;;
"CaptureBase_OrdnanceDepot.dialogueList8.dialogueContent1.words";"Commander, it looks like the garrison was on patrol, and they're on the way back. Get ready for multiple contacts.";"Commander, it looks like the garrison was on patrol, and they're on the way back. Get ready for multiple contacts.";;;
"CaptureBase_OrdnanceDepot.longDescription";"This should be straightforward. Move up, recon the depot, and then occupy it. Once we secure the area, {TEAM_EMP.FactionDef.Name} will send in their people to loot the place.";"This should be straightforward. Move up, recon the depot, and then occupy it. Once we secure the area, {TEAM_EMP.FactionDef.Name} will send in their people to loot the place.";;;
"CaptureBase_OrdnanceDepot.objectiveList0.title";"Scout the Depot";"Scout the Depot";;;
"CaptureBase_OrdnanceDepot.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Garrison";"Destroy the {TEAM_TAR.FactionDef.Demonym} Garrison";;;
"CaptureBase_OrdnanceDepot.objectiveList2.title";"Occupy the Depot";"Occupy the Depot";;;
"CaptureBase_OrdnanceDepot.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_OrdnanceDepot.objectiveList3.title";"Capture & Hold Depot";"Capture & Hold Depot";;;
"CaptureBase_OrdnanceDepot.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_OrdnanceDepot.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_OrdnanceDepot.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_OrdnanceDepot.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_OrdnanceDepot.shortDescription";"We've been tracking the movement of several {TEAM_TAR.FactionDef.Demonym} convoys, and that's allowed us to pinpoint their destinations: a hidden, well-defended ordnance depot. This facility is a key supplier for local {TEAM_TAR.FactionDef.Demonym} forces, and taking it from them will significantly damage their efforts against us. We'd like you to drop in, take the depot, and hold out against any enemy reinforcements.";"We've been tracking the movement of several {TEAM_TAR.FactionDef.Demonym} convoys, and that's allowed us to pinpoint their destinations: a hidden, well-defended ordnance depot. This facility is a key supplier for local {TEAM_TAR.FactionDef.Demonym} forces, and taking it from them will significantly damage their efforts against us. We'd like you to drop in, take the depot, and hold out against any enemy reinforcements.";;;
"CaptureBase_SwiftReclamation.contractName";"Swift Reclamation";"Swift Reclamation";;;
"CaptureBase_SwiftReclamation.dialogueList0.dialogueContent0.words";"We're here to capture the {TEAM_TAR.FactionDef.Demonym} warehouse complex.";"We're here to capture the {TEAM_TAR.FactionDef.Demonym} warehouse complex.";;;
"CaptureBase_SwiftReclamation.dialogueList0.dialogueContent1.words";"Let's get our forces to a position where we can better observe the enemy movements, and perhaps get eye on the facility.";"Let's get our forces to a position where we can better observe the enemy movements, and perhaps get eye on the facility.";;;
"CaptureBase_SwiftReclamation.dialogueList0.dialogueContent2.words";"Eliminate opposition and take control of the territory, Commander.";"Eliminate opposition and take control of the territory, Commander.";;;
"CaptureBase_SwiftReclamation.dialogueList1.dialogueContent0.words";"The warehouse complex is under our control, Commander.";"The warehouse complex is under our control, Commander.";;;
"CaptureBase_SwiftReclamation.dialogueList1.dialogueContent1.words";"We're ready to send in the extraction ships for the warehouse contents.";"We're ready to send in the extraction ships for the warehouse contents.";;;
"CaptureBase_SwiftReclamation.dialogueList1.dialogueContent2.words";"Sit tight. {TEAM_EMP.FactionDef.ShortName} will be pleased with these results.";"Sit tight. {TEAM_EMP.FactionDef.ShortName} will be pleased with these results.";;;
"CaptureBase_SwiftReclamation.dialogueList2.dialogueContent0.words";"We won't be able to take this one. Pack it in, Commander.";"We won't be able to take this one. Pack it in, Commander.";;;
"CaptureBase_SwiftReclamation.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
