"CaptureEscort_AssetSecurity_Hard_NEW.contractName";"Secure the Assets";"Secure the Assets";;;
"CaptureEscort_AssetSecurity_Hard_NEW.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_AssetSecurity_Hard_NEW.longDescription";"Commander, the carriers they're talking about are slow and fragile. On the other hand they could certainly provide fire support if things go south.";"Commander, the carriers they're talking about are slow and fragile. On the other hand they could certainly provide fire support if things go south.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_AssetSecurity_Hard_NEW.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_AssetSecurity_Hard_NEW.shortDescription";"The position of one of our lances of fire support vehicles has become untenable due to the proximity of {TEAM_TAR.FactionDef.ShortName} forces. We'd like you to provide security while we relocate them.";"The position of one of our lances of fire support vehicles has become untenable due to the proximity of {TEAM_TAR.FactionDef.ShortName} forces. We'd like you to provide security while we relocate them.";;;
"CaptureEscort_HostageRescue.contractName";"Hostage Rescue";"Hostage Rescue";;;
"CaptureEscort_HostageRescue.dialogueList0.dialogueContent0.words";"I'm getting radio chatter from the facility, Commander. It sounds like the crew has staged an uprising.";"I'm getting radio chatter from the facility, Commander. It sounds like the crew has staged an uprising.";;;
"CaptureEscort_HostageRescue.dialogueList0.dialogueContent1.words";"We need to get to their location and secure the area so they can make their escape.";"We need to get to their location and secure the area so they can make their escape.";;;
"CaptureEscort_HostageRescue.dialogueList0.dialogueContent2.words";"Expect serious resistance, now that {TEAM_TAR.FactionDef.Demonym} forces are alert for a rescue attempt.";"Expect serious resistance, now that {TEAM_TAR.FactionDef.Demonym} forces are alert for a rescue attempt.";;;
"CaptureEscort_HostageRescue.dialogueList1.dialogueContent0.words";"The crew is safely back in orbit, Commander. Well done.";"The crew is safely back in orbit, Commander. Well done.";;;
"CaptureEscort_HostageRescue.dialogueList2.dialogueContent0.words";"Dammit. That fell apart in a hurry. Let's debrief back in orbit, Commander.";"Dammit. That fell apart in a hurry. Let's debrief back in orbit, Commander.";;;
"CaptureEscort_HostageRescue.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_HostageRescue.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. They're moving to intercept the escaping hostages.";"More contacts on the sensors, Commander. They're moving to intercept the escaping hostages.";;;
"CaptureEscort_HostageRescue.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_HostageRescue.dialogueList6.dialogueContent0.words";"Looks like the crew has seized some light vehicles to make their escape. We'll need to run interference for them till they reach their pickup point.";"Looks like the crew has seized some light vehicles to make their escape. We'll need to run interference for them till they reach their pickup point.";;;
"CaptureEscort_HostageRescue.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_HostageRescue.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_HostageRescue.longDescription";"Assuming the hostages are still alive, we're going to have a hell of a time keeping them that way.";"Assuming the hostages are still alive, we're going to have a hell of a time keeping them that way.";;;
"CaptureEscort_HostageRescue.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_HostageRescue.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_HostageRescue.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_HostageRescue.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_HostageRescue.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_HostageRescue.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_HostageRescue.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_HostageRescue.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_HostageRescue.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_HostageRescue.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_HostageRescue.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_HostageRescue.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_HostageRescue.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_HostageRescue.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_HostageRescue.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_HostageRescue.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_HostageRescue.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_HostageRescue.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_HostageRescue.shortDescription";"A {TEAM_EMP.FactionDef.Demonym} DropShip went down on this empty rock, and shortly thereafter we detected a distress signal from the surface. By the time we arrived, the crew had been taken captive by a heavily armed {TEAM_TAR.FactionDef.Demonym} force. We don't have an in-system military presence large enough to mount a hostage rescue mission, so we're looking for a competent mercenary company to do it. We need you to reach the facility where the crew is being held, destroy the {TEAM_TAR.FactionDef.Demonym} units guarding them, and escort them to safety.";"A {TEAM_EMP.FactionDef.Demonym} DropShip went down on this empty rock, and shortly thereafter we detected a distress signal from the surface. By the time we arrived, the crew had been taken captive by a heavily armed {TEAM_TAR.FactionDef.Demonym} force. We don't have an in-system military presence large enough to mount a hostage rescue mission, so we're looking for a competent mercenary company to do it. We need you to reach the facility where the crew is being held, destroy the {TEAM_TAR.FactionDef.Demonym} units guarding them, and escort them to safety.";;;
"CaptureEscort_HostileAcquisition_Hard.contractName";"Job Offer";"Job Offer";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList0.dialogueContent0.words";"The research base is just up ahead, Commander.";"The research base is just up ahead, Commander.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList0.dialogueContent1.words";"I'm getting a report from Sumire of hostiles moving in the area. We need to punch through and secure the base.";"I'm getting a report from Sumire of hostiles moving in the area. We need to punch through and secure the base.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList0.dialogueContent2.words";"Once we've got the, uh, 'employees' underway, we need to keep up with them and protect them. Good luck, Commander.";"Once we've got the, uh, 'employees' underway, we need to keep up with them and protect them. Good luck, Commander.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList1.dialogueContent0.words";"The scientists are in custody, Commander. Well done.";"The scientists are in custody, Commander. Well done.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList2.dialogueContent0.words";"That was a slaughterhouse. Let's head home, Commander.";"That was a slaughterhouse. Let's head home, Commander.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList4.dialogueContent0.words";"More contacts on the sensors, Commander. I guess {TEAM_TAR.FactionDef.Name} isn't happy with their people changing jobs?";"More contacts on the sensors, Commander. I guess {TEAM_TAR.FactionDef.Name} isn't happy with their people changing jobs?";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList6.dialogueContent0.words";"I've got the convoy leader on comms, Commander. They're underway. Keep up with them and keep them safe.";"I've got the convoy leader on comms, Commander. They're underway. Keep up with them and keep them safe.";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_HostileAcquisition_Hard.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_HostileAcquisition_Hard.longDescription";"I'm sure that the {TEAM_EMP.FactionDef.Demonym} rep thinks they're very clever, but this kind of headhunting is serious. We should expect the enemy to shoot to kill.";"I'm sure that the {TEAM_EMP.FactionDef.Demonym} rep thinks they're very clever, but this kind of headhunting is serious. We should expect the enemy to shoot to kill.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_HostileAcquisition_Hard.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_HostileAcquisition_Hard.shortDescription";"Our intelligence analysts located a well-hidden {TEAM_TAR.FactionDef.Demonym} research base on {TGT_SYSTEM.Name}. We've already pacified the base, and {TEAM_EMP.FactionDef.Name} made very firm job offers to the scientists at the facility. Almost all of them have accepted. We need to evacuate those scientists before their previous employers hear about their new positions.";"Our intelligence analysts located a well-hidden {TEAM_TAR.FactionDef.Demonym} research base on {TGT_SYSTEM.Name}. We've already pacified the base, and {TEAM_EMP.FactionDef.Name} made very firm job offers to the scientists at the facility. Almost all of them have accepted. We need to evacuate those scientists before their previous employers hear about their new positions.";;;
"CaptureEscort_Pirate_KeyPersonnel.contractName";"Key Personnel";"Key Personnel";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList0.dialogueContent0.words";"The convoy has stopped at a nearby facility, Commander.";"The convoy has stopped at a nearby facility, Commander.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList0.dialogueContent1.words";"Let's move up and get them underway to their extract point.";"Let's move up and get them underway to their extract point.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList1.dialogueContent0.words";"That's a wrap, Commander. Well done.";"That's a wrap, Commander. Well done.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList2.dialogueContent0.words";"Dammit. We're going to have to report this one as a loss, Commander.";"Dammit. We're going to have to report this one as a loss, Commander.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList4.dialogueContent0.words";"More contacts, Commander. These folks are shooting to kill. They <i>really</i> don't want our friends getting their people back.";"More contacts, Commander. These folks are shooting to kill. They <i>really</i> don't want our friends getting their people back.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList6.dialogueContent0.words";"Just got word from the driver of the lead vehicle. They're ready to move out.";"Just got word from the driver of the lead vehicle. They're ready to move out.";;;
"CaptureEscort_Pirate_KeyPersonnel.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_Pirate_KeyPersonnel.longDescription";"Weapons technicians, huh? Well, I suppose a rescue op is a rescue op, no matter who we're rescuing.";"Weapons technicians, huh? Well, I suppose a rescue op is a rescue op, no matter who we're rescuing.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_Pirate_KeyPersonnel.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_Pirate_KeyPersonnel.shortDescription";"We've got a little problem, Commander, and you're just the people to help us out. The {TEAM_TAR.FactionDef.Demonym} authorities raided one of our warehouses. The guns and drugs, they can keep, but they also captured some of our best technicians. We need those people back to continue our work here. They're being transported to the detention center for interrogation, which would not be good for our business at all. We need you to rescue them.";"We've got a little problem, Commander, and you're just the people to help us out. The {TEAM_TAR.FactionDef.Demonym} authorities raided one of our warehouses. The guns and drugs, they can keep, but they also captured some of our best technicians. We need those people back to continue our work here. They're being transported to the detention center for interrogation, which would not be good for our business at all. We need you to rescue them.";;;
"CaptureEscort_ProfessionalLifestyle.contractName";"Professional Lifestyle";"Professional Lifestyle";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList0.dialogueContent0.words";"Looks like I got us here first, boss. You're welcome.";"Looks like I got us here first, boss. You're welcome.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList0.dialogueContent1.words";"Cute, Meyer. Commander, the motor pool where the convoy is refueling is just over here. Move in and occupy it, and we'll convince the driver to allow you to escort him.";"Cute, Meyer. Commander, the motor pool where the convoy is refueling is just over here. Move in and occupy it, and we'll convince the driver to allow you to escort him.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList1.dialogueContent0.words";"Excellent work, Commander. The vehicles are safely away.";"Excellent work, Commander. The vehicles are safely away.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList2.dialogueContent0.words";"Pack it in, Commander. Nothing left to do here.";"Pack it in, Commander. Nothing left to do here.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList3.dialogueContent0.words";"Commander. The enemy had deployed reinforcements and they are inbound. Expect increased resistance. ";"Commander. The enemy had deployed reinforcements and they are inbound. Expect increased resistance. ";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList4.dialogueContent0.words";"I'm afraid I can't let you take those vehicles. Nothing personal, you understand. I just need to support my lavish lifestyle.";"I'm afraid I can't let you take those vehicles. Nothing personal, you understand. I just need to support my lavish lifestyle.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList4.dialogueContent1.words";"Enemy mercenary, be advised that we will not allow you to capture this convoy.";"Enemy mercenary, be advised that we will not allow you to capture this convoy.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList4.dialogueContent2.words";"I was actually intending on reducing them to scrap and looting the wreckage. How's that sound?";"I was actually intending on reducing them to scrap and looting the wreckage. How's that sound?";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList4.dialogueContent3.words";"Chatty, aren't they? I kind of want to land the Leopard on their head.";"Chatty, aren't they? I kind of want to land the Leopard on their head.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList6.dialogueContent0.words";"Convoy command, this is <i>Argo</i> actual. You will follow us to a new evac point or you will be fired on.";"Convoy command, this is <i>Argo</i> actual. You will follow us to a new evac point or you will be fired on.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList6.dialogueContent1.words";"Acknowledged, <i>Argo</i>. We aren't equipped for a fight, in any case. We'll follow your lead.";"Acknowledged, <i>Argo</i>. We aren't equipped for a fight, in any case. We'll follow your lead.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList6.dialogueContent2.words";"Polite hostages? Huh. I could get used to that.";"Polite hostages? Huh. I could get used to that.";;;
"CaptureEscort_ProfessionalLifestyle.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_ProfessionalLifestyle.longDescription";"The truth is, I hate fighting other mercenaries. It seems like such a waste of perfectly good armor and myomer.";"The truth is, I hate fighting other mercenaries. It seems like such a waste of perfectly good armor and myomer.";;;
