"CaptureEscort_AmmoHeist_NEW.contractName";"Ammo Heist";"Ammo Heist";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList6.dialogueContent0.words";"I'm receiving a transmission from the Employer's convoy. You've secured the area around their position, and they are making their way towards the extraction point now. Keep them alive!";"I'm receiving a transmission from the Employer's convoy. You've secured the area around their position, and they are making their way towards the extraction point now. Keep them alive!";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList6.dialogueContent1.words";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";"Keep in mind that the convoy will try to stay near you for protection. Continue advancing to get them to the extract point!";;;
"CaptureEscort_AssetSecurity_NEW.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_AssetSecurity_NEW.longDescription";"Commander, the carriers they're talking about are slow and fragile. On the other hand they could certainly provide fire support if things go south.";"Commander, the carriers they're talking about are slow and fragile. On the other hand they could certainly provide fire support if things go south.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_AssetSecurity_NEW.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_AssetSecurity_NEW.shortDescription";"The position of one of our lances of fire support vehicles has become untenable due to the proximity of {TEAM_TAR.FactionDef.ShortName} forces. We'd like you to provide security while we relocate them.";"The position of one of our lances of fire support vehicles has become untenable due to the proximity of {TEAM_TAR.FactionDef.ShortName} forces. We'd like you to provide security while we relocate them.";;;
"CaptureEscort_BlownOperation.contractName";"Blown Operation";"Blown Operation";;;
"CaptureEscort_BlownOperation.dialogueList0.dialogueContent0.words";"Mercenary force, you are entering a restricted {TEAM_TAR.FactionDef.Demonym} area. Withdraw or you will be fired on.";"Mercenary force, you are entering a restricted {TEAM_TAR.FactionDef.Demonym} area. Withdraw or you will be fired on.";;;
"CaptureEscort_BlownOperation.dialogueList0.dialogueContent1.words";"Yeah, they weren't surprised at all to see us. That sounds like a blown operation to me.";"Yeah, they weren't surprised at all to see us. That sounds like a blown operation to me.";;;
"CaptureEscort_BlownOperation.dialogueList0.dialogueContent2.words";"Agreed. Commander, once you've dealt with the response force, you'll find our employer's people here, at this facility.";"Agreed. Commander, once you've dealt with the response force, you'll find our employer's people here, at this facility.";;;
"CaptureEscort_BlownOperation.dialogueList0.dialogueContent3.words";"Try not to get any of them shot or stepped on. Good luck.";"Try not to get any of them shot or stepped on. Good luck.";;;
"CaptureEscort_BlownOperation.dialogueList1.dialogueContent0.words";"The covert team and the research materials are safe. Well done, Commander.";"The covert team and the research materials are safe. Well done, Commander.";;;
"CaptureEscort_BlownOperation.dialogueList2.dialogueContent0.words";"Well, I suppose that could have been worse. Let's debrief back on the Argo.";"Well, I suppose that could have been worse. Let's debrief back on the Argo.";;;
"CaptureEscort_BlownOperation.dialogueList3.dialogueContent0.words";"Commander. The enemy had deployed reinforcements and they are inbound. Expect increased resistance. ";"Commander. The enemy had deployed reinforcements and they are inbound. Expect increased resistance. ";;;
"CaptureEscort_BlownOperation.dialogueList4.dialogueContent0.words";"Hey boss, I'm seeing more contacts. Whatever these guys stole must be important.";"Hey boss, I'm seeing more contacts. Whatever these guys stole must be important.";;;
"CaptureEscort_BlownOperation.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_BlownOperation.dialogueList6.dialogueContent0.words";"Shit, we're glad to see you folks. [gunshots] I was worried we'd have to walk home.";"Shit, we're glad to see you folks. [gunshots] I was worried we'd have to walk home.";;;
"CaptureEscort_BlownOperation.dialogueList6.dialogueContent1.words";"We have an LZ marked for you. Is your team ready to move?";"We have an LZ marked for you. Is your team ready to move?";;;
"CaptureEscort_BlownOperation.dialogueList6.dialogueContent2.words";"Everyone who's left. We're mounting up now. [muffled explosion] <i>Let's move, people!</i>";"Everyone who's left. We're mounting up now. [muffled explosion] <i>Let's move, people!</i>";;;
"CaptureEscort_BlownOperation.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_BlownOperation.longDescription";"When I hear 'rapid' and 'immediate', I'm thinking 'no intel' and 'expect nasty surprises', Commander.";"When I hear 'rapid' and 'immediate', I'm thinking 'no intel' and 'expect nasty surprises', Commander.";;;
"CaptureEscort_BlownOperation.objectiveList0.description";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";"The objective to destroy the force of enemies which will try and stop the player from reaching the rally point.";;;
"CaptureEscort_BlownOperation.objectiveList0.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";"Destroy {TEAM_TAR.FactionDef.Demonym} Blocking Force";;;
"CaptureEscort_BlownOperation.objectiveList1.description";"Secure the Convoy Rally Point";"Secure the Convoy Rally Point";;;
"CaptureEscort_BlownOperation.objectiveList1.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_BlownOperation.objectiveList2.description";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";"The objective to destroy enemy units which will attempt to block the convoy from reaching its destination.";;;
"CaptureEscort_BlownOperation.objectiveList2.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureEscort_BlownOperation.objectiveList3.description";"Escort Friendly units to their Destination";"Escort Friendly units to their Destination";;;
"CaptureEscort_BlownOperation.objectiveList3.title";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";"Escort {TEAM_EMP.FactionDef.Demonym} Convoy To Evac Point";;;
"CaptureEscort_BlownOperation.objectiveList4.description";"Protect the all units in Convoy during Extraction, suffering no losses.";"Protect the all units in Convoy during Extraction, suffering no losses.";;;
"CaptureEscort_BlownOperation.objectiveList4.title";"Ensure All Convoy Units Survive";"Ensure All Convoy Units Survive";;;
"CaptureEscort_BlownOperation.objectiveList5.description";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_BlownOperation.objectiveList5.title";"Hidden Objective: Destroy hunter lance for mission complete.";"Hidden Objective: Destroy hunter lance for mission complete.";;;
"CaptureEscort_BlownOperation.objectiveList6.description";"The objective to escape with all the player units.";"The objective to escape with all the player units.";;;
"CaptureEscort_BlownOperation.objectiveList6.title";"Get to the Evac Zone";"Get to the Evac Zone";;;
"CaptureEscort_BlownOperation.objectiveList7.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_BlownOperation.objectiveList7.title";"Protect Convoy while Dropship Arrives";"Protect Convoy while Dropship Arrives";;;
"CaptureEscort_BlownOperation.objectiveList8.description";"USELESS OBJECTIVE";"USELESS OBJECTIVE";;;
"CaptureEscort_BlownOperation.objectiveList8.title";"Protect Convoy as they Embark on the Dropship";"Protect Convoy as they Embark on the Dropship";;;
"CaptureEscort_BlownOperation.shortDescription";"Less than an hour ago, we lost contact with a covert team tasked with infiltrating a {TEAM_TAR.FactionDef.Demonym} facility. The only reason for them not to respond is if their operation was blown, by discovery or counterintelligence. The research materials they were meant to collect are extremely important, and we can't afford to lose them. We need you to make a rapid and immediate deployment to the the facility, and get our people and their cargo to safety.";"Less than an hour ago, we lost contact with a covert team tasked with infiltrating a {TEAM_TAR.FactionDef.Demonym} facility. The only reason for them not to respond is if their operation was blown, by discovery or counterintelligence. The research materials they were meant to collect are extremely important, and we can't afford to lose them. We need you to make a rapid and immediate deployment to the the facility, and get our people and their cargo to safety.";;;
"CaptureEscort_BlownOperation_Alt.contractName";"Blown Operation";"Blown Operation";;;
"CaptureEscort_BlownOperation_Alt.dialogueList0.dialogueContent0.words";"Mercenary force, you are entering a restricted {TEAM_TAR.FactionDef.Demonym} area. Withdraw or you will be fired on.";"Mercenary force, you are entering a restricted {TEAM_TAR.FactionDef.Demonym} area. Withdraw or you will be fired on.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList0.dialogueContent1.words";"Yeah, they weren't surprised at all to see us. That sounds like a blown operation to me.";"Yeah, they weren't surprised at all to see us. That sounds like a blown operation to me.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList0.dialogueContent2.words";"Agreed. Commander, once you've dealt with the response force, you'll find our employer's people here, at this facility.";"Agreed. Commander, once you've dealt with the response force, you'll find our employer's people here, at this facility.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList0.dialogueContent3.words";"Try not to get any of them shot or stepped on. Good luck.";"Try not to get any of them shot or stepped on. Good luck.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList1.dialogueContent0.words";"The covert team and the research materials are safe. Well done, Commander.";"The covert team and the research materials are safe. Well done, Commander.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList2.dialogueContent0.words";"Well, I suppose that could have been worse. Let's debrief back on the Argo.";"Well, I suppose that could have been worse. Let's debrief back on the Argo.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList3.dialogueContent0.words";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";"Commander. The enemy has deployed reinforcements and they are inbound. Expect increased resistance.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList4.dialogueContent0.words";"Hey boss, I'm seeing more contacts. Whatever these guys stole must be important.";"Hey boss, I'm seeing more contacts. Whatever these guys stole must be important.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList5.dialogueContent0.words";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";"You've reached the extraction point for the objective vehicles. Hold there are keep them safe until we can get them out.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList6.dialogueContent0.words";"Shit, we're glad to see you folks. [gunshots] I was worried we'd have to walk home.";"Shit, we're glad to see you folks. [gunshots] I was worried we'd have to walk home.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList6.dialogueContent1.words";"We have an LZ marked for you. Is your team ready to move?";"We have an LZ marked for you. Is your team ready to move?";;;
"CaptureEscort_BlownOperation_Alt.dialogueList6.dialogueContent2.words";"Everyone who's left. We're mounting up now. [muffled explosion] <i>Let's move, people!</i>";"Everyone who's left. We're mounting up now. [muffled explosion] <i>Let's move, people!</i>";;;
"CaptureEscort_BlownOperation_Alt.dialogueList6.dialogueContent3.words";"Darius? Commander? I'm seeing a <i>lot</i> of new 'Mech signatures out there. It looks like someone kicked a beehive.";"Darius? Commander? I'm seeing a <i>lot</i> of new 'Mech signatures out there. It looks like someone kicked a beehive.";;;
"CaptureEscort_BlownOperation_Alt.dialogueList7.dialogueContent0.words";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";"And they are away! The convoy is safely out of the AO. Good work, Commander. Now get your remaining forces to the second evac zone for extraction there. ";;;
"CaptureEscort_BlownOperation_Alt.longDescription";"When I hear 'rapid' and 'immediate', it makes me think 'no intel' and 'expect nasty surprises', Commander.";"When I hear 'rapid' and 'immediate', it makes me think 'no intel' and 'expect nasty surprises', Commander.";;;
