"Blackout_DugInDeep.contractName";"Dug in Deep";"Глубоко закопанный";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList4.description";"Destroy the lance that is occupying the base";"Уничтожьте отряд, удерживающий базу";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList4.title";"Destroy occupying lance";"Уничтожить отряд захватчиков";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList5.description";"Survive the hacked turrets in bravo base";"Защитить взломанные турели на базе браво";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList5.title";"Destroy the hacked base turrets";"Уничтожьте турели взломанной базы";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.shortDescription";"We recently lost contact with one of our forward bases in the {TGT_SYSTEM.name} system. We've heard rumours of {TEAM_TAR.FactionDef.Demonym} activity near here so it might be related. We need you to go in and investigate for us.";"Недавно мы потеряли связь с одной из наших баз в системе {TGT_SYSTEM.name}. До нас дошли слухи об активности {TEAM_TAR.FactionDef.Name} поблизости, так что это может быть связано. Нам нужно, чтобы вы провели разведку.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.contractName";"Unknown Cause";"Неизвестная причина";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList0.dialogueContent0.words";"We've been informed there's two main bases for the Biolab. Let's head to the first one and scout it out. And... try not to take any deep breaths out there, Commander.";"Нам сообщили, что у Биолаборатории есть две основные базы. Давайте отправимся к первому и разведем его. И ... постарайтесь не делать глубоких вдохов, командир.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList1.dialogueContent0.words";"Good job there, Commander. Let's hope that {TEAM_TAR.FactionDef.Demonym} crew weren't right about that virus.";"Хорошая работа, командир. Будем надеяться, что команда {TEAM_TAR.FactionDef.Name} была не права насчет вируса.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList10.dialogueContent0.words";"*** DETECTED OCCUPYING FORCE *** ... *** VIRUS DETECTED ON OCCUPYING UNITS *** .... *** ACTIVATING DEVICE NETWORK ***";"*** ОБНАРУЖЕНЫ ОККУПАЦИОННЫЕ СИЛЫ *** ... *** ОБНАРУЖЕН ВИРУС НА ОККУПАНТАХ *** .... *** АКТИВАЦИЯ СЕТЕВОГО УСТРОЙСТВА ***";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList11.dialogueContent0.words";"Commander! Are we glad to see you! {TEAM_EMP.FactionDef.Demonym} Biolab {TGT_SYSTEM.name}-Delta.";"Командир! Как мы рады вас видеть! {TEAM_EMP.FactionDef.Name} Биолаборатория {TGT_SYSTEM.name}-Дельта.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList11.dialogueContent1.words";"We had a containment breach on one of our projects. Nothing serious I assure you and we have it under control. However, it looks like we've pushed the {TEAM_TAR.FactionDef.Demonym} watchers too far. They're determined to wipe us out!";"У нас было нарушение условий содержания на одном из наших проектов. Ничего серьезного, уверяю вас все под контролем. Однако похоже, что мы зашли слишком далеко от требований наблюдателей {TEAM_TAR.FactionDef.Name}. Они полны решимости уничтожить нас!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList11.dialogueContent2.words";"We've got contacts! Incoming!";"Множество контактов! Сближаются!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList2.dialogueContent0.words";"This virus will be a problem now, Commander. Let's get you back.";"Этот вирус теперь будет для нас проблемой, командир. Давайте-ка вернем вас назад.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList3.dialogueContent0.words";"There are a few dead bodies scattered around the base here, Commander. I hate to say it but maybe there's something going on with this biolab. Let's check the biolab complex.";"Около базы обнаружено несколько трупов, командир. Я не хочу это говорить, но, может быть, в биолаборатории что-то происходит. Давайте проверим комплекс биолабораторий.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList4.dialogueContent0.words";"*** DETECTED UNKNOWN FORCE *** ... *** VIRUS BREACH DETECTED *** .... *** ACTIVATING DEVICE NETWORK ***";"*** ОБНАРУЖЕНЫ НЕИЗВЕСТНЫЕ СИЛЫ *** ... *** ОБНАРУЖЕНО РАСПРОСТРАНЕНИЕ ВИРУСА *** .... *** АКТИВАЦИЯ СЕТЕВОГО УСТРОЙСТВА ***";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList4.dialogueContent1.words";"Watch out, Commander! Turrets coming online!";"Осторожно, командир! Турели активируются!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList5.dialogueContent0.words";"We knew your damned experiments here would ruin us, {TEAM_EMP.FactionDef.Demonym}. Now you've released that virus and killed us all. At least we'll take you with us first.";"Мы знали, что ваши чертовы эксперименты нас погубят, {TEAM_EMP.FactionDef.Name}. Теперь вы выпустили этот вирус и убили всех нас. Но по крайней мере, мы заберем вас с собой.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList5.dialogueContent1.words";"Virus? Commander, incoming hostiles!";"Вирус? Тут враги наступают, командир!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList5.dialogueContent2.words";"*** DETECTED UNKNOWN FORCE *** ... *** VIRUS DETECTED *** .... *** ACTIVATING DEVICE NETWORK ***";"*** ОБНАРУЖЕНЫ НЕИЗВЕСТНЫЕ СИЛЫ *** ... *** ОБНАРУЖЕН ВИРУС *** .... *** АКТИВАЦИЯ СЕТЕВОГО УСТРОЙСТВА ***";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList6.dialogueContent0.words";"What was all that about a virus? To be on the safe side I wouldn't leave your mechs whilst you're down there. Let's move to the biolab complex to figure this out.";"Так это все вирус? На всякий случай я бы покидал мех, пока вы там. Давайте выдвигаться к комплексу биолабораторий, чтобы разобраться с этим.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList7.dialogueContent0.words";"A {TEAM_TAR.FactionDef.Demonym} attack? Virus? What the hell is going on here? Let's get this over with fast.";"Атака {TEAM_TAR.FactionDef.Name}? Вирус? Что, черт возьми, здесь происходит? Давайте побыстрее покончим с этим.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList8.dialogueContent0.words";"Unidentified BattleMech lance. This base has been put under quarantine by {TEAM_TAR.FactionDef.ShortName}. Leave this area now.";"Неопознанное копье мехов. Эта база помещена на карантин {TEAM_TAR.FactionDef.ShortName}. Покиньте это место сейчас же.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList8.dialogueContent1.words";"{TEAM_TAR.FactionDef.Demonym} radio operator. You have illegally taken over this {TEAM_EMP.FactionDef.Demonym} base. Leave or be forced out.";"{TEAM_TAR.FactionDef.Name} сообщает. Вы незаконно захватили эту базу {TEAM_EMP.FactionDef.Name}. Уходите или вас вышвырнут.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList8.dialogueContent2.words";"You leave us no choice. Contain and control those Mercs!";"Вы не оставляете нам выбора. Сдерживайте и следите за этими наемниками!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList9.dialogueContent0.words";"Watch out, Commander! Base defenses are coming online!";"Осторожно, командир! Оборона базы активировалась!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.longDescription";"Bio research station? We better be careful here, Commander. I don't fancy catching a new type of cold, if you know what I mean?";"Биологическая исследовательская станция? Лучше быть здесь поосторожнее, командир. Я не хочу заболеть новым типом простуды, если вы понимаете, о чем я?";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList0.title";"Investigate the Biolab";"Исследуйте Биолаб";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList1.description";"Survive the bioscan in alpha base";"Защитить биоскан на базе альфа";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList1.title";"Survive the bioscan";"Защитить биоскан";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList2.description";"Head to the biolab in the next base";"Отправляйтесь в биолаб. на следующей базе";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList2.title";"Head to the Biolab complex";"Отправляйтесь в комплекс Биолаб";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList3.description";"Destroy the lance that is invading";"Уничтожьте вторгающиеся силы врага";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList3.title";"Destroy invading lance";"Уничтожить отряд вторжения";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList4.description";"Destroy the lance that is occupying the base";"Уничтожьте отряд, удерживающий базу";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList4.title";"Destroy occupying lance";"Уничтожить отряд захватчиков";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList5.description";"Survive the hacked turrets in bravo base";"Защитить взломанные турели на базе браво";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList5.title";"Destroy the hacked base turrets";"Уничтожьте турели взломанной базы";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.shortDescription";"One of our bio research stations has gone dark in the {TGT_SYSTEM.name} system. We've not sure why but {TEAM_TAR.FactionDef.Demonym} affiliated groups have been asking about purchasing some specific supplies we also use in that system. Investigate and find out what's going on.";"Одна из наших био-исследовательских станций в системе {TGT_SYSTEM.name} прекратила связь. Мы не знаем причину, однако не так давно влиятельные люди из {TEAM_TAR.FactionDef.Name} выражали желание заполучить ценные материалы, которыми мы сами там пользуемся. Отправляйтесь туда и выясните, что там происходит.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.contractName";"At High Noon";"Точно в полдень";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList0.dialogueContent0.words";"These guys aren't inexperienced so watch out and good luck, Commander.";"У этих ребят есть опыт, так что будьте осторожны и удачи, командир.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList1.dialogueContent0.words";"Way to go, Commander! I even managed to record that for the crew's holovid room!";"Так держать, командир! Мне даже удалось записать это для нашей головид комнаты!";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList2.dialogueContent0.words";"These brothers are a lot better than we gave them credit for.";"Эти братья намного лучше, чем мы думали.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList3.dialogueContent0.words";"Think you Mercfaces canna beat us twos? Hella no. Eat lead.";"Думаешь вашим наемничьим рожам удастся нас победить? Черта с два! Жри свинец!";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.longDescription";"Straight out of the holovids, Commander. A showdown at high noon... or whatever time it will be on {TGT_SYSTEM.name}.";"Прямо на головидео, командир. Поединок в полдень... или в другое время, на {TGT_SYSTEM.name}.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.objectiveList0.title";"Defeat the Jarman brothers";"Победите братьев Джарман";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.shortDescription";"Our bases in {TGT_SYSTEM.name} have been plagued by the local Jarman brothers. With support from {TEAM_TAR.FactionDef.ShortName} they continually raid our supplies and we've had enough. Using their overconfidence against them we've baited them into accepting a duel with us. Can you help us out?";"Наши базы в {TGT_SYSTEM.name} подверглись нападению местных, братьев Джарман. При поддержке {TEAM_TAR.FactionDef.ShortName} они постоянно грабят наши припасы, и с нас достаточно. Используя их самоуверенность, мы заставили их согласиться на дуэль с нами. Вы можете нам помочь?";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.contractName";"Double Trouble";"Двойные проблемы";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList0.dialogueContent0.words";"Ready up, Commander.";"Закончили, командир.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList0.dialogueContent1.words";"It's unfortunate how this has turned out but we can't back down now. Sort these {TEAM_TAR.FactionDef.Demonym} guards out then let's get out of here.";"К сожалению, все таким образом, но мы не можем отступить сейчас. Разберите этих стражников из {TEAM_TAR.FactionDef.Name}, и убираемся отсюда.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList1.dialogueContent0.words";"Glad you did it, Commander but time to run! Reports of this duel are reaching the airwaves.";"Рад, что вы это сделали, командир, но пора бежать! Сообщения об этой дуэли достигли эфира.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList2.dialogueContent0.words";"This isn't how it should have turned out, Commander. Let's get going. Nothing more we can do.";"Все должно было быть не так, командир. Давайте продолжим. Мы больше ничего не можем здесь сделать.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.longDescription";"Commander, looks like those two guys that the {TEAM_EMP.FactionDef.Demonym} crew ticked off last night were actually {TEAM_TAR.FactionDef.Demonym} guards. Looks like we've got ourselves a duel.";"Командир, похоже, что те двое парней, которых команда {TEAM_EMP.FactionDef.Name} встретила прошлой ночью, на самом деле были стражниками {TEAM_TAR.FactionDef.Name}. Кажеться, дуэль все таки состоиться.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.objectiveList0.title";"Defeat Guards";"Победить стражников";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.shortDescription";"Last night a few of our crew members took some much needed R&R at the local {TEAM_TAR.FactionDef.Demonym} bar. Words were said and now it looks like we're stuck in a duel with two apparent {TEAM_TAR.FactionDef.Demonym} guards. Our crew aren't fighters so maybe you can help us out?";"Вчера вечером несколько членов нашей команды отдыхали в местном баре {TEAM_TAR.FactionDef.Name}. Были сказаны некоторые слова, и теперь похоже, что мы подписали себе дуэль с двумя стражниками {TEAM_TAR.FactionDef.Name}. Мы не бойцы, но может быть, вы нам поможете?";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.contractName";"Festive Couple";"Праздничная пара";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList0.dialogueContent0.words";"The crowd is cheering for you two, Commander.";"Толпа болеет за вас двоих, командир.";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList1.dialogueContent0.words";"Hah! That was a great show, Commander. Great job!";"Ха! Это было отличное шоу, командир. Отличная работа!";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList2.dialogueContent0.words";"I think we've just rained on the festival celebrations with this loss.";"Думаю, мы только что нарушили фестивальное торжество этой потерей.";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList3.dialogueContent0.words";"Let's make this a good show but make no mistake. We're winning this!";"Давайте устроим хорошее шоу, но без глупостей. Мы выиграем!";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.longDescription";"This actually sounds like fun! I'll have you both on coms the entire time but the rest of the crew will be cheering you on from the crowd. Let's do this, Commander.";"Звучит весело! Я буду на связи с вами все время, но остальная часть команды будет подбадривать вас из толпы. Давайте сделаем это, командир.";;"#000000";"#FFFFFF"
