"Blackout_DugInDeep.contractName";"Dug in Deep";"Глубоко закопанный";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList7.dialogueContent0.words";"We either came at the right time or the worst time. Good job on dispatching that assault. I fear that's not the last of them though. Expect more OpFor, Commander.";"We either came at the right time or the worst time. Good job on dispatching that assault. I fear that's not the last of them though. Expect more OpFor, Commander.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent0.words";"{COMPANY.CompanyName}! We weren't expecting to see you - in one piece, anyway. What a sight for sore eyes. Welcome to the front lines!";"{COMPANY.CompanyName}! Мы не ожидали увидеть тебя - во всяком случае, в целости и сохранности. Какое зрелище для уставших глаз. Добро пожаловать на передовую!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent1.words";"Front lines? Lucky us. We've been sent by {TEAM_EMP.FactionDef.ShortName} to aid and assist. How are you all doing in there? What's the sitrep?";"Линия фронта? Нам повезло. {TEAM_EMP.FactionDef.ShortName} послал нас для поддержки и помощи. Как у вас там дела? Какова обстановка?";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent2.words";"We first noticed our data streams were being interrupted then had the odd scout probe our defenses. You arrived right on time for the main event it seems.";"We first noticed our data streams were being interrupted then had the odd scout probe our defenses. You arrived right on time for the main event it seems.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.dialogueList8.dialogueContent3.words";"We've got contacts! Incoming!";"We've got contacts! Incoming!";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.longDescription";"Interrupted mid-stream? Not much does that, Commander. We better be ready for anything down there.";"Interrupted mid-stream? Not much does that, Commander. We better be ready for anything down there.";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList0.title";"Establish SitRep";"Доложить обстановку";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList1.description";"Survive the turrets in alpha base";"Survive the turrets in alpha base";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList1.title";"Survive the defenses";"Survive the defenses";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList2.description";"Link up with the main compound";"Link up with the main compound";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList2.title";"Link up with the main compound";"Link up with the main compound";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList3.description";"Destroy the lance that is invading";"Уничтожьте вторгающиеся силы врага";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList3.title";"Destroy invading lance";"Уничтожить отряд вторжения";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList4.description";"Survive the hacked turrets in bravo base";"Survive the hacked turrets in bravo base";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.objectiveList4.title";"Destroy the hacked base turrets";"Уничтожьте турели взломанной базы";;"#000000";"#FFFFFF"
"Blackout_DugInDeep.shortDescription";"Last week, radio coms with a strategic outpost was interrupted mid datastream to one of the remote relays and we've been unable to reestablish contact. Our other units are all tied up, so we need you to make contact and get a sitrep.";"Last week, radio coms with a strategic outpost was interrupted mid datastream to one of the remote relays and we've been unable to reestablish contact. Our other units are all tied up, so we need you to make contact and get a sitrep.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.contractName";"Heavy Static";"Тяжелая статика";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList0.dialogueContent0.words";"We've received very little intel on this situation. We just know they went dark and we assume jamming is involved. Careful out there, Commander.";"We've received very little intel on this situation. We just know they went dark and we assume jamming is involved. Careful out there, Commander.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList1.dialogueContent0.words";"Great job, Commander! They always say you can't judge these types of contracts.";"Отличная работа, командир! Они всегда говорят, что о таких контрактах нельзя судить сходу.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList10.dialogueContent0.words";"It's me again, Commander! I've managed to activate our base defenses. Locked them all shortly before we lost control. Give them hell!";"It's me again, Commander! I've managed to activate our base defenses. Locked them all shortly before we lost control. Give them hell!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList11.dialogueContent0.words";"Commander! Are we glad to see you! {TEAM_EMP.FactionDef.Demonym} forward base {TGT_SYSTEM.name}-Alpha.";"Командир! Как мы рады вас видеть! {TEAM_EMP.FactionDef.Name} передовая база {TGT_SYSTEM.name}-Альфа.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList11.dialogueContent1.words";"We've been holding off assaults on our position for the past few weeks. We've fallen back to this base but we can't hold out for much longer.";"We've been holding off assaults on our position for the past few weeks. We've fallen back to this base but we can't hold out for much longer.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList11.dialogueContent2.words";"We've got contacts! Incoming!";"We've got contacts! Incoming!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList2.dialogueContent0.words";"The loss of that position will come at a bad time for {TEAM_EMP.FactionDef.ShortName}. No good news for us either.";"The loss of that position will come at a bad time for {TEAM_EMP.FactionDef.ShortName}. No good news for us either.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList3.dialogueContent0.words";"Strange. There looks like there's been fighting here but it was a least a few weeks ago. Let's look up on ahead. Maybe we'll find something at the other base.";"Strange. There looks like there's been fighting here but it was a least a few weeks ago. Let's look up on ahead. Maybe we'll find something at the other base.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList4.dialogueContent0.words";"What's this?! The turrets are activating. Incoming fire, Commander!";"What's this?! The turrets are activating. Incoming fire, Commander!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList5.dialogueContent0.words";"We were told to expect interference. Time to shut you out.";"We were told to expect interference. Time to shut you out.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList5.dialogueContent1.words";"This isn't good, Commander. You're surrounded!";"This isn't good, Commander. You're surrounded!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList5.dialogueContent2.words";"Hey! That base's automated turrets are spinning up. Lucky us!";"Эй! Автоматические турели этой базы начали вращатся. Нам повезло!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList6.dialogueContent0.words";"Is everything ok down there, Commander? Looks like those turrets were hacked. Something is definitely not right here. Let's move on to the next base.";"Внизу все в порядке, командир? Похоже, эти турели взломали. Что-то здесь точно не так. Переходим к следующей базе.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList7.dialogueContent0.words";"How did these guys get the jump on us? We've been getting too much bad intel. This is now officially a hot zone. Let's continue our investigation. Expect more OpFor, Commander.";"How did these guys get the jump on us? We've been getting too much bad intel. This is now officially a hot zone. Let's continue our investigation. Expect more OpFor, Commander.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent0.words";"Unidentified BattleMech lance. Declare yourself. You are violating a {TEAM_EMP.FactionDef.Demonym} militarised zone";"Unidentified BattleMech lance. Declare yourself. You are violating a {TEAM_EMP.FactionDef.Name} militarised zone";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent1.words";"{TEAM_EMP.FactionDef.Demonym} radio operator. We are {COMPANY.CompanyName} and have been hired to check the sit rep here. You've been out of contact for weeks. Everything ok here?";"{TEAM_EMP.FactionDef.Name} радист. Мы - {COMPANY.CompanyName}, и нас наняли, чтобы проверить, есть ли здесь местный представитель. nym} радист. Мы-КОМПАНИЯ.CompanyName} и были наняты для проверки сидячего представителя здесь. Ты уже несколько недель не выходишь на связь. Здесь все в порядке?";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent2.words";"Everything's fi..***STATIC***";"Все в поря...***ШУМ***";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent3.words";"Commander! It's a trap! Watch ou...***STATIC***";"Командир! Это ловушка! Осторож...*** ПОМЕХИ ***";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList8.dialogueContent4.words";"Damn it! Gun them down now!";"Черт возьми! Пристрелите их сейчас же!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList9.dialogueContent0.words";"It's me again, Commander! I'm going to try and activate the turrets... ***BANG***";"Это снова я, командир! Я собираюсь попробовать включить турели... *** БАХ ***";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList9.dialogueContent1.words";"That sorts you out. Thanks for unlocking those turrets for us.";"That sorts you out. Thanks for unlocking those turrets for us.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.dialogueList9.dialogueContent2.words";"Commander, this isn't good. Watch out for those base defenses!";"Командир, это нехорошо. Следите за обороной базы!";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.longDescription";"Forward base is a little misleading, Commander. I've heard rumours it's more a spy station. Let's go find out what's going on.";"Передовая база вводит в заблуждение, командир. Ходят слухи, что это скорее шпионская станция. Пойдем выясним, что происходит.";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList0.title";"Investigate the Blackout";"Investigate the Blackout";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList1.description";"Survive the turret trap in alpha base";"Survive the turret trap in alpha base";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList1.title";"Survive the trap";"Survive the trap";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList2.description";"Follow the trail to the next base";"Иди по следу до следующей базы";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList2.title";"Follow the Trail";"Иди по следу";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList3.description";"Destroy the lance that is invading";"Уничтожьте вторгающиеся силы врага";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList3.title";"Destroy invading lance";"Уничтожить отряд вторжения";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList4.description";"Destroy the lance that is occupying the base";"Уничтожьте отряд, удерживающий базу";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList4.title";"Destroy occupying lance";"Уничтожить отряд захватчиков";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList5.description";"Survive the hacked turrets in bravo base";"Защитить взломанные турели на базе браво";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.objectiveList5.title";"Destroy the hacked base turrets";"Уничтожьте турели взломанной базы";;"#000000";"#FFFFFF"
"Blackout_HeavyStatic.shortDescription";"We recently lost contact with one of our forward bases in the {TGT_SYSTEM.name} system. We've heard rumours of {TEAM_TAR.FactionDef.Demonym} activity near here so it might be related. We need you to go in and investigate for us.";"We recently lost contact with one of our forward bases in the {TGT_SYSTEM.name} system. We've heard rumours of {TEAM_TAR.FactionDef.Name} activity near here so it might be related. We need you to go in and investigate for us.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.contractName";"Unknown Cause";"Unknown Cause";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList0.dialogueContent0.words";"We've been informed there's two main bases for the Biolab. Let's head to the first one and scout it out. And... try not to take any deep breaths out there, Commander.";"We've been informed there's two main bases for the Biolab. Let's head to the first one and scout it out. And... try not to take any deep breaths out there, Commander.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList1.dialogueContent0.words";"Good job there, Commander. Let's hope that {TEAM_TAR.FactionDef.Demonym} crew weren't right about that virus.";"Хорошая работа, командир. Будем надеяться, что команда {TEAM_TAR.FactionDef.Name} была не права насчет вируса.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList10.dialogueContent0.words";"*** DETECTED OCCUPYING FORCE *** ... *** VIRUS DETECTED ON OCCUPYING UNITS *** .... *** ACTIVATING DEVICE NETWORK ***";"*** ОБНАРУЖЕНА ОККУПАЦИОННАЯ СИЛА *** ... *** ВИРУС ОБНАРУЖЕН НА ОККУПАЦИОННЫХ ЕДИНИЦАХ *** .... *** АКТИВАЦИЯ СЕТИ УСТРОЙСТВ ***";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList11.dialogueContent0.words";"Commander! Are we glad to see you! {TEAM_EMP.FactionDef.Demonym} Biolab {TGT_SYSTEM.name}-Delta.";"Командир! Как мы рады вас видеть! {TEAM_EMP.FactionDef.Name} Биолаборатория {TGT_SYSTEM.name}-Дельта.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList11.dialogueContent1.words";"We had a containment breach on one of our projects. Nothing serious I assure you and we have it under control. However, it looks like we've pushed the {TEAM_TAR.FactionDef.Demonym} watchers too far. They're determined to wipe us out!";"We had a containment breach on one of our projects. Nothing serious I assure you and we have it under control. However, it looks like we've pushed the {TEAM_TAR.FactionDef.Name} watchers too far. They're determined to wipe us out!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList11.dialogueContent2.words";"We've got contacts! Incoming!";"We've got contacts! Incoming!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList2.dialogueContent0.words";"This virus will be a problem now, Commander. Let's get you back.";"This virus will be a problem now, Commander. Let's get you back.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList3.dialogueContent0.words";"There are a few dead bodies scattered around the base here, Commander. I hate to say it but maybe there's something going on with this biolab. Let's check the biolab complex.";"There are a few dead bodies scattered around the base here, Commander. I hate to say it but maybe there's something going on with this biolab. Let's check the biolab complex.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList4.dialogueContent0.words";"*** DETECTED UNKNOWN FORCE *** ... *** VIRUS BREACH DETECTED *** .... *** ACTIVATING DEVICE NETWORK ***";"*** ОБНАРУЖЕНА НЕИЗВЕСТНАЯ СИЛА *** ... *** ОБНАРУЖЕНО ВИРУСНОЕ ВТОРЖЕНИЕ *** .... *** АКТИВАЦИЯ СЕТИ УСТРОЙСТВ ***";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList4.dialogueContent1.words";"Watch out, Commander! Turrets coming online!";"Watch out, Commander! Turrets coming online!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList5.dialogueContent0.words";"We knew your damned experiments here would ruin us, {TEAM_EMP.FactionDef.Demonym}. Now you've released that virus and killed us all. At least we'll take you with us first.";"We knew your damned experiments here would ruin us, {TEAM_EMP.FactionDef.Name}. Now you've released that virus and killed us all. At least we'll take you with us first.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList5.dialogueContent1.words";"Virus? Commander, incoming hostiles!";"Virus? Commander, incoming hostiles!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList5.dialogueContent2.words";"*** DETECTED UNKNOWN FORCE *** ... *** VIRUS DETECTED *** .... *** ACTIVATING DEVICE NETWORK ***";"*** ОБНАРУЖЕНА НЕИЗВЕСТНАЯ СИЛА *** ... *** ОБНАРУЖЕН ВИРУС *** .... *** АКТИВАЦИЯ СЕТИ УСТРОЙСТВ ***";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList6.dialogueContent0.words";"What was all that about a virus? To be on the safe side I wouldn't leave your mechs whilst you're down there. Let's move to the biolab complex to figure this out.";"What was all that about a virus? To be on the safe side I wouldn't leave your mechs whilst you're down there. Let's move to the biolab complex to figure this out.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList7.dialogueContent0.words";"A {TEAM_TAR.FactionDef.Demonym} attack? Virus? What the hell is going on here? Let's get this over with fast.";"Атака {TEAM_TAR.FactionDef.Name}? Вирус? Что, черт возьми, здесь происходит? Давайте побыстрее покончим с этим.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList8.dialogueContent0.words";"Unidentified BattleMech lance. This base has been put under quarantine by {TEAM_TAR.FactionDef.ShortName}. Leave this area now.";"Unidentified BattleMech lance. This base has been put under quarantine by {TEAM_TAR.FactionDef.ShortName}. Leave this area now.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList8.dialogueContent1.words";"{TEAM_TAR.FactionDef.Demonym} radio operator. You have illegally taken over this {TEAM_EMP.FactionDef.Demonym} base. Leave or be forced out.";"{TEAM_TAR.FactionDef.Name} радист. Вы незаконно захватили эту базу {TEAM_EMP.FactionDef.Name}. Выйдите или вас вышвырнут.";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList8.dialogueContent2.words";"You leave us no choice. Contain and control those Mercs!";"You leave us no choice. Contain and control those Mercs!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.dialogueList9.dialogueContent0.words";"Watch out, Commander! Base defenses are coming online!";"Watch out, Commander! Base defenses are coming online!";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.longDescription";"Bio research station? We better be careful here, Commander. I don't fancy catching a new type of cold, if you know what I mean?";"Биологическая исследовательская станция? Нам лучше быть здесь поосторожнее, командир. Я не хочу заболеть новым типом простуды, если вы понимаете, о чем я?";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList0.title";"Investigate the Biolab";"Исследуйте Биолаб";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList1.description";"Survive the bioscan in alpha base";"Survive the bioscan in alpha base";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList1.title";"Survive the bioscan";"Survive the bioscan";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList2.description";"Head to the biolab in the next base";"Отправляйтесь в биолаб. на следующей базе";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList2.title";"Head to the Biolab complex";"Отправляйтесь в комплекс Биолаб";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList3.description";"Destroy the lance that is invading";"Уничтожьте вторгающиеся силы врага";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList3.title";"Destroy invading lance";"Уничтожить отряд вторжения";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList4.description";"Destroy the lance that is occupying the base";"Уничтожьте отряд, удерживающий базу";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList4.title";"Destroy occupying lance";"Уничтожить отряд захватчиков";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList5.description";"Survive the hacked turrets in bravo base";"Survive the hacked turrets in bravo base";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.objectiveList5.title";"Destroy the hacked base turrets";"Уничтожьте турели взломанной базы";;"#000000";"#FFFFFF"
"Blackout_UnknownCause.shortDescription";"One of our bio research stations has gone dark in the {TGT_SYSTEM.name} system. We've not sure why but {TEAM_TAR.FactionDef.Demonym} affiliated groups have been asking about purchasing some specific supplies we also use in that system. Investigate and find out what's going on.";"Одна из наших био-исследовательских станций в системе {TGT_SYSTEM.name} прекратила связь. Мы не знаем причину, однако не так давно влиятельные люди из {TEAM_TAR.FactionDef.Name} выражали желание заполучить ценные материалы, которыми мы сами там пользуемся. Отправляйтесь туда и выясните, что там происходит.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.contractName";"At High Noon";"Точно в полдень";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList0.dialogueContent0.words";"These guys aren't inexperienced so watch out and good luck, Commander.";"У этих ребят есть опыт, так что будьте осторожны и удачи, командир.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList1.dialogueContent0.words";"Way to go, Commander! I even managed to record that for the crew's holovid room!";"Way to go, Commander! I even managed to record that for the crew's holovid room!";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList2.dialogueContent0.words";"These brothers are a lot better than we gave them credit for.";"Эти братья намного лучше, чем мы думали.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.dialogueList3.dialogueContent0.words";"Think you Mercfaces canna beat us twos? Hella no. Eat lead.";"Think you Mercfaces canna beat us twos? Hella no. Eat lead.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.longDescription";"Straight out of the holovids, Commander. A showdown at high noon... or whatever time it will be on {TGT_SYSTEM.name}.";"Straight out of the holovids, Commander. A showdown at high noon... or whatever time it will be on {TGT_SYSTEM.name}.";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.objectiveList0.title";"Defeat the Jarman brothers";"Победите братьев Джарман";;"#000000";"#FFFFFF"
"DuoDuel_AtHighNoon.shortDescription";"Our bases in {TGT_SYSTEM.name} have been plagued by the local Jarman brothers. With support from {TEAM_TAR.FactionDef.ShortName} they continually raid our supplies and we've had enough. Using their overconfidence against them we've baited them into accepting a duel with us. Can you help us out?";"Наши базы в {TGT_SYSTEM.name} подверглись нападению местных братьев Джарман. При поддержке {TEAM_TAR.FactionDef.ShortName} они постоянно грабят наши припасы, и с нас достаточно. Используя их самоуверенность, мы заставили их согласиться на дуэль с нами. Вы можете нам помочь?";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.contractName";"Double Trouble";"Двойные проблемы";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList0.dialogueContent0.words";"Ready up, Commander.";"Все готово, командир.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList0.dialogueContent1.words";"It's unfortunate how this has turned out but we can't back down now. Sort these {TEAM_TAR.FactionDef.Demonym} guards out then let's get out of here.";"It's unfortunate how this has turned out but we can't back down now. Sort these {TEAM_TAR.FactionDef.Name} guards out then let's get out of here.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList1.dialogueContent0.words";"Glad you did it, Commander but time to run! Reports of this duel are reaching the airwaves.";"Рад, что вы это сделали, командир, но пора бежать! Сообщения об этой дуэли достигли эфира.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.dialogueList2.dialogueContent0.words";"This isn't how it should have turned out, Commander. Let's get going. Nothing more we can do.";"Все должно ьыло быть не так, командир. Давайте продолжим. Мы больше ничего не можем сделать.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.longDescription";"Commander, looks like those two guys that the {TEAM_EMP.FactionDef.Demonym} crew ticked off last night were actually {TEAM_TAR.FactionDef.Demonym} guards. Looks like we've got ourselves a duel.";"Командир, похоже, что те двое парней, которых команда {TEAM_EMP.FactionDef.Name} отметила прошлой ночью, на самом деле были охранниками {TEAM_TAR.FactionDef.Name}. Похоже, нам предстоит дуэль.";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.objectiveList0.title";"Defeat Guards";"Победить стражников";;"#000000";"#FFFFFF"
"DuoDuel_DoubleTrouble.shortDescription";"Last night a few of our crew members took some much needed R&R at the local {TEAM_TAR.FactionDef.Demonym} bar. Words were said and now it looks like we're stuck in a duel with two apparent {TEAM_TAR.FactionDef.Demonym} guards. Our crew aren't fighters so maybe you can help us out?";"Last night a few of our crew members took some much needed R&R at the local {TEAM_TAR.FactionDef.Name} bar. Words were said and now it looks like we're stuck in a duel with two apparent {TEAM_TAR.FactionDef.Name} guards. Our crew aren't fighters so maybe you can help us out?";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.contractName";"Festive Couple";"Праздничная пара";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList0.dialogueContent0.words";"The crowd is cheering for you two, Commander.";"Толпа болеет за вас двоих, командир.";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList1.dialogueContent0.words";"Hah! That was a great show, Commander. Great job!";"Ха! Это было отличное шоу, командир. Отличная работа!";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList2.dialogueContent0.words";"I think we've just rained on the festival celebrations with this loss.";"I think we've just rained on the festival celebrations with this loss.";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.dialogueList3.dialogueContent0.words";"Let's make this a good show but make no mistake. We're winning this!";"Давайте устроим хорошее шоу, но без глупостей. Мы выиграем!";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.longDescription";"This actually sounds like fun! I'll have you both on coms the entire time but the rest of the crew will be cheering you on from the crowd. Let's do this, Commander.";"Звучит весело! Я буду на связи с вами все время, но остальная часть команды будет подбадривать вас из толпы. Давайте сделаем это, командир.";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.objectiveList0.title";"Defeat the {TEAM_TAR.FactionDef.Demonym} team";"Победите команду {TEAM_TAR.FactionDef.Name}";;"#000000";"#FFFFFF"
"DuoDuel_FestiveCouple.shortDescription";"As with every year at this festive time on {TGT_SYSTEM.name} we host an arena fight for the people. This year we'd like you to be our representative. Your duo duel is against {TEAM_TAR.FactionDef.ShortName}. We're placing our trust in you so please don't let us down.";"Как и каждый год в это праздничное время, на {TGT_SYSTEM.name}, мы устраиваем бой на арене для людей. В этом году мы хотим, чтобы вы были нашим представителем. Ваш дуэльный поединок против {TEAM_TAR.FactionDef.ShortName}. Мы доверяем вам, поэтому, пожалуйста, не подведите нас.";;"#000000";"#FFFFFF"
"DuoDuel_LastMinuteReplacements.contractName";"Last Minute Replacements";"Замены в последнюю минуту";;"#000000";"#FFFFFF"
