"DefendBase_BeefedUpSecurity.contractName";"Beefed Up Security";"Beefed Up Security";;;
"DefendBase_BeefedUpSecurity.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_BeefedUpSecurity.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_BeefedUpSecurity.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_BeefedUpSecurity.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_BeefedUpSecurity.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_BeefedUpSecurity.longDescription";"Commander, be careful: if there *is* a second attack, the raiders will go all out.";"Commander, be careful: if there *is* a second attack, the raiders will go all out.";;;
"DefendBase_BeefedUpSecurity.objectiveList0.title";"Defend {TEAM_EMP.FactionDef.Demonym} Base";"Defend {TEAM_EMP.FactionDef.Demonym} Base";;;
"DefendBase_BeefedUpSecurity.objectiveList1.title";"Destroy Enemy Vanguard";"Destroy Enemy Vanguard";;;
"DefendBase_BeefedUpSecurity.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_BeefedUpSecurity.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_BeefedUpSecurity.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of those locations.";"Escort Engineer APCs to Base Defenses in order to take control of those locations.";;;
"DefendBase_BeefedUpSecurity.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_BeefedUpSecurity.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DefendBase_BeefedUpSecurity.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_BeefedUpSecurity.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_BeefedUpSecurity.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_BeefedUpSecurity.shortDescription";"There is a small {TEAM_EMP.FactionDef.Demonym} base on {TGT_SYSTEM.Name} that has been attacked by raiders. Their latest attack was far better organized and equipped than the previous ones, suggesting the raiders are receiving logistical and tactical support from a hostile power. We might not be able to withstand a second attack of that scale. We'd like to hire you to provide additional defensive support.";"There is a small {TEAM_EMP.FactionDef.Demonym} base on {TGT_SYSTEM.Name} that has been attacked by raiders. Their latest attack was far better organized and equipped than the previous ones, suggesting the raiders are receiving logistical and tactical support from a hostile power. We might not be able to withstand a second attack of that scale. We'd like to hire you to provide additional defensive support.";;;
"DefendBase_BirdsOfPrey_NEW.contractName";"Birds of Prey";"Birds of Prey";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList0.dialogueContent0.words";"Commander, our contracted mission is to defend this factory.";"Commander, our contracted mission is to defend this factory.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList0.dialogueContent1.words";"We have scattered reports of incoming {TEAM_TAR.FactionDef.Demonym} units. These would be the 'spies and saboteurs' our employer referred to.";"We have scattered reports of incoming {TEAM_TAR.FactionDef.Demonym} units. These would be the 'spies and saboteurs' our employer referred to.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList0.dialogueContent2.words";"Apparently spies come in mechs these days.";"Apparently spies come in mechs these days.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList0.dialogueContent3.words";"All we have to do is hold them off until our employer's forces relieve us. Good luck, Commander.";"All we have to do is hold them off until our employer's forces relieve us. Good luck, Commander.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList1.dialogueContent0.words";"Mission complete, Commander. I'll let our employers know their base is secure.";"Mission complete, Commander. I'll let our employers know their base is secure.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList2.dialogueContent0.words";"That's unfortunate, Commander. Time to cut our losses.";"That's unfortunate, Commander. Time to cut our losses.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList3.dialogueContent0.words";"Our employer's VTOL assets are preparing to engage the enemy.";"Our employer's VTOL assets are preparing to engage the enemy.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList4.dialogueContent0.words";"Commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attackers have reinforcements. ";"Commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attackers have reinforcements. ";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Protect the remaining buildings.";"Commander, a target building has been demolished. Protect the remaining buildings.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList7.dialogueContent0.words";"We can't afford to lose any more buildings, Commander, or we'll be in breach of our contract obligations.";"We can't afford to lose any more buildings, Commander, or we'll be in breach of our contract obligations.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList9.dialogueContent0.words";"Commander, we've got a patrol of friendlies coming in.";"Commander, we've got a patrol of friendlies coming in.";;;
"DefendBase_BirdsOfPrey_NEW.dialogueList9.dialogueContent1.words";"Various VTOL assets are conducting test flights in the AO.";"Various VTOL assets are conducting test flights in the AO.";;;
"DefendBase_BirdsOfPrey_NEW.longDescription";"There are no static weapon emplacements on this facility and I couldn't pin their negotiator down on whether any of the VTOL assets on site are going to be of any use.";"There are no static weapon emplacements on this facility and I couldn't pin their negotiator down on whether any of the VTOL assets on site are going to be of any use.";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList0.description";"Defend Base from Attackers";"Defend Base from Attackers";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList0.title";"Defend VTOL Facility";"Defend VTOL Facility";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList3.description";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList3.title";"Hold Out for {TEAM_EMP.FactionDef.Demonym} Reinforcements";"Hold Out for {TEAM_EMP.FactionDef.Demonym} Reinforcements";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList4.description";"Cover the returning patrol until it gets inside the base.";"Cover the returning patrol until it gets inside the base.";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList4.title";"Cover Returning Patrol";"Cover Returning Patrol";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_BirdsOfPrey_NEW.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_BirdsOfPrey_NEW.shortDescription";"Our VTOL factory on {TGT_SYSTEM.Name} is under threat because of rumors that we are developing a new military airframe. This gossip has reached certain parties who may send spies and saboteurs. We have arranged for a garrison force to be moved into place, but we need mercenaries to protect the factory until our forces arrive.";"Our VTOL factory on {TGT_SYSTEM.Name} is under threat because of rumors that we are developing a new military airframe. This gossip has reached certain parties who may send spies and saboteurs. We have arranged for a garrison force to be moved into place, but we need mercenaries to protect the factory until our forces arrive.";;;
"DefendBase_Bodyguards.contractName";"Bodyguards";"Bodyguards";;;
"DefendBase_Bodyguards.dialogueList0.dialogueContent0.words";"Commander, we need to protect the {TEAM_EMP.FactionDef.Demonym} base and keep the VIP safe.";"Commander, we need to protect the {TEAM_EMP.FactionDef.Demonym} base and keep the VIP safe.";;;
"DefendBase_Bodyguards.dialogueList0.dialogueContent1.words";"As expected, we have multiple incoming {TEAM_TAR.FactionDef.Demonym} units.";"As expected, we have multiple incoming {TEAM_TAR.FactionDef.Demonym} units.";;;
"DefendBase_Bodyguards.dialogueList0.dialogueContent2.words";"Hold the base, keep the buildings upright, and eliminate any threats. Oliveira out.";"Hold the base, keep the buildings upright, and eliminate any threats. Oliveira out.";;;
"DefendBase_Bodyguards.dialogueList1.dialogueContent0.words";"Well done, Commander. I'm guessing {TEAM_EMP.FactionDef.Name} will be pleased, and hopefully learn a lesson about OpSec.";"Well done, Commander. I'm guessing {TEAM_EMP.FactionDef.Name} will be pleased, and hopefully learn a lesson about OpSec.";;;
"DefendBase_Bodyguards.dialogueList2.dialogueContent0.words";"I don't like this. I'm pulling the plug, Commander.";"I don't like this. I'm pulling the plug, Commander.";;;
"DefendBase_Bodyguards.dialogueList3.dialogueContent0.words";"The engineers are in position and have disembarked from the APCs. The vehicles will scatter and support you; just keep those turrets online.";"The engineers are in position and have disembarked from the APCs. The vehicles will scatter and support you; just keep those turrets online.";;;
"DefendBase_Bodyguards.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Bodyguards.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_Bodyguards.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_Bodyguards.dialogueList7.dialogueContent0.words";"Commander, we're getting signals from the base. That last structure is where they have the VIP secured. If it goes down, so does the VIP.";"Commander, we're getting signals from the base. That last structure is where they have the VIP secured. If it goes down, so does the VIP.";;;
"DefendBase_Bodyguards.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Bodyguards.dialogueList9.dialogueContent0.words";"Our employers are providing us with extra support, Commander.";"Our employers are providing us with extra support, Commander.";;;
"DefendBase_Bodyguards.dialogueList9.dialogueContent1.words";"There are point defenses set up around the base. Unfortunately for us, they're offline.";"There are point defenses set up around the base. Unfortunately for us, they're offline.";;;
"DefendBase_Bodyguards.dialogueList9.dialogueContent2.words";"Fortunately, though, we've got a team of {TEAM_EMP.FactionDef.Demonym} engineers who can bring them back online.";"Fortunately, though, we've got a team of {TEAM_EMP.FactionDef.Demonym} engineers who can bring them back online.";;;
"DefendBase_Bodyguards.dialogueList9.dialogueContent3.words";"Escort them to the generators and we can boost our firepower and repel the {TEAM_TAR.FactionDef.Demonym} forces.";"Escort them to the generators and we can boost our firepower and repel the {TEAM_TAR.FactionDef.Demonym} forces.";;;
"DefendBase_Bodyguards.longDescription";"They've got to be kicking themselves for letting their VIP go out without more security. Their screw-up is our payday, though.";"They've got to be kicking themselves for letting their VIP go out without more security. Their screw-up is our payday, though.";;;
"DefendBase_Bodyguards.objectiveList0.title";"Defend {TEAM_EMP.FactionDef.Name} Base";"Defend {TEAM_EMP.FactionDef.Name} Base";;;
"DefendBase_Bodyguards.objectiveList1.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";"Destroy {TEAM_TAR.FactionDef.Demonym} Vanguard";;;
"DefendBase_Bodyguards.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_Bodyguards.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Bodyguards.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_Bodyguards.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DefendBase_Bodyguards.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Bodyguards.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Bodyguards.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Bodyguards.shortDescription";"We have a VIP at a base on {TGT_SYSTEM.name}, and we've just received a garbled transmission from a local agent that the base will be attacked by {TEAM_TAR.FactionDef.Name}. They're striking at the VIP, and they know our forces are not in position to come to his aid. We need a team of competent mercenaries to protect the facility and our personnel.";"We have a VIP at a base on {TGT_SYSTEM.name}, and we've just received a garbled transmission from a local agent that the base will be attacked by {TEAM_TAR.FactionDef.Name}. They're striking at the VIP, and they know our forces are not in position to come to his aid. We need a team of competent mercenaries to protect the facility and our personnel.";;;
"DefendBase_HoldTheLine.contractName";"Hold the Line";"Hold the Line";;;
"DefendBase_HoldTheLine.dialogueList0.dialogueContent0.words";"All right, Commander, we've been tasked with defending this installation.";"All right, Commander, we've been tasked with defending this installation.";;;
"DefendBase_HoldTheLine.dialogueList0.dialogueContent1.words";"We have scattered reports of incoming hostiles from multiple directions.";"We have scattered reports of incoming hostiles from multiple directions.";;;
"DefendBase_HoldTheLine.dialogueList0.dialogueContent2.words";"They'll be targeting the structures; intercept them before they bring any down. Good luck.";"They'll be targeting the structures; intercept them before they bring any down. Good luck.";;;
"DefendBase_HoldTheLine.dialogueList1.dialogueContent0.words";"Excellent work, Commander - the hostiles are clear and our facility is secure.";"Excellent work, Commander - the hostiles are clear and our facility is secure.";;;
"DefendBase_HoldTheLine.dialogueList2.dialogueContent0.words";"No good, Commander. Stand by for extraction and we'll get you out of there.";"No good, Commander. Stand by for extraction and we'll get you out of there.";;;
"DefendBase_HoldTheLine.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing!";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing!";;;
"DefendBase_HoldTheLine.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_HoldTheLine.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_HoldTheLine.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_HoldTheLine.dialogueList7.dialogueContent0.words";"Commander, we're down to just one building left. If they bring it down, this mission is over.";"Commander, we're down to just one building left. If they bring it down, this mission is over.";;;
"DefendBase_HoldTheLine.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_HoldTheLine.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_HoldTheLine.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_HoldTheLine.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_HoldTheLine.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_HoldTheLine.longDescription";"The {TEAM_EMP.FactionDef.Demonym} facility must be running on incredibly narrow margins if they can't afford to protect it themselves. Anyway, Commander, this should be very straightforward.";"The {TEAM_EMP.FactionDef.Demonym} facility must be running on incredibly narrow margins if they can't afford to protect it themselves. Anyway, Commander, this should be very straightforward.";;;
"DefendBase_HoldTheLine.objectiveList0.description";"Defend Base from Attackers";"Defend Base from Attackers";;;
"DefendBase_HoldTheLine.objectiveList0.title";"Defend Base from {TEAM_TAR.FactionDef.Demonym} Attackers";"Defend Base from {TEAM_TAR.FactionDef.Demonym} Attackers";;;
"DefendBase_HoldTheLine.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_HoldTheLine.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_HoldTheLine.objectiveList3.description";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_HoldTheLine.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_HoldTheLine.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_HoldTheLine.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_HoldTheLine.objectiveList5.title";"Hostile Units Inbound";"Hostile Units Inbound";;;
"DefendBase_HoldTheLine.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_HoldTheLine.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_HoldTheLine.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_HoldTheLine.shortDescription";"Hostile {TEAM_TAR.FactionDef.Demonym} forces have been making increasingly bold incursions toward one of our processing facilities on {TGT_SYSTEM.name}. This facility represents a substantial cash investment for {TEAM_EMP.FactionDef.ShortName}, and its destruction would be both politically and financially disastrous. We need a capable mercenary company to defend the site. Payment will be remitted upon the repulsion of all hostile {TEAM_TAR.FactionDef.Demonym} units.";"Hostile {TEAM_TAR.FactionDef.Demonym} forces have been making increasingly bold incursions toward one of our processing facilities on {TGT_SYSTEM.name}. This facility represents a substantial cash investment for {TEAM_EMP.FactionDef.ShortName}, and its destruction would be both politically and financially disastrous. We need a capable mercenary company to defend the site. Payment will be remitted upon the repulsion of all hostile {TEAM_TAR.FactionDef.Demonym} units.";;;
"DefendBase_HoloVidPropaganda.contractName";"Holo-Vid Propaganda";"Holo-Vid Propaganda";;;
"DefendBase_HoloVidPropaganda.dialogueList0.dialogueContent0.words";"Commander, we're tasked with defending a propaganda facility.";"Commander, we're tasked with defending a propaganda facility.";;;
"DefendBase_HoloVidPropaganda.dialogueList0.dialogueContent1.words";"We have scattered reports of possible hostiles in the area. Looks like the {TEAM_TAR.FactionDef.Name} mean to shut down this operation.";"We have scattered reports of possible hostiles in the area. Looks like the {TEAM_TAR.FactionDef.Name} mean to shut down this operation.";;;
"DefendBase_HoloVidPropaganda.dialogueList0.dialogueContent2.words";"Hold the facility, keep the buildings upright, and destroy the attackers. Good luck.";"Hold the facility, keep the buildings upright, and destroy the attackers. Good luck.";;;
"DefendBase_HoloVidPropaganda.dialogueList1.dialogueContent0.words";"Excellent work, Commander; {TEAM_TAR.FactionDef.ShortName} won't stop the signal today.";"Excellent work, Commander; {TEAM_TAR.FactionDef.ShortName} won't stop the signal today.";;;
"DefendBase_HoloVidPropaganda.dialogueList2.dialogueContent0.words";"That's unfortunate. Let's head home and debrief.";"That's unfortunate. Let's head home and debrief.";;;
"DefendBase_HoloVidPropaganda.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";;;
"DefendBase_HoloVidPropaganda.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_HoloVidPropaganda.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_HoloVidPropaganda.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_HoloVidPropaganda.dialogueList7.dialogueContent0.words";"Commander, if we lose any more structures, we lose the entire base and all its personnel.";"Commander, if we lose any more structures, we lose the entire base and all its personnel.";;;
"DefendBase_HoloVidPropaganda.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_HoloVidPropaganda.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_HoloVidPropaganda.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_HoloVidPropaganda.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_HoloVidPropaganda.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_HoloVidPropaganda.longDescription";"Even though {TEAM_TAR.FactionDef.Name} supposedly believes the facility is 'undefended', I'm still expecting a stand-up fight, Commander.";"Even though {TEAM_TAR.FactionDef.Name} supposedly believes the facility is 'undefended', I'm still expecting a stand-up fight, Commander.";;;
"DefendBase_HoloVidPropaganda.objectiveList0.title";"Defend Holo-Vid Facility";"Defend Holo-Vid Facility";;;
"DefendBase_HoloVidPropaganda.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_HoloVidPropaganda.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_HoloVidPropaganda.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_HoloVidPropaganda.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_HoloVidPropaganda.objectiveList5.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_HoloVidPropaganda.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_HoloVidPropaganda.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_HoloVidPropaganda.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
