"CaptureBase_DataPiracy.contractName";"Data Piracy";"Data Piracy";;;
"CaptureBase_DataPiracy_Alt.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_DataPiracy_Alt.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_DataPiracy_Alt.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_DataPiracy_Alt.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_DataPiracy_Alt.dialogueList7.dialogueContent0.words";"Oh hey, just like I said. Turrets. Watch yourself, Commander.";"Oh hey, just like I said. Turrets. Watch yourself, Commander.";;;
"CaptureBase_DataPiracy_Alt.dialogueList8.dialogueContent0.words";"There's the facility, Commander. That's-- There weren't supposed to be any units in the base, Commander.";"There's the facility, Commander. That's-- There weren't supposed to be any units in the base, Commander.";;;
"CaptureBase_DataPiracy_Alt.dialogueList8.dialogueContent1.words";"Sounds like our employers have their own data security problems.";"Sounds like our employers have their own data security problems.";;;
"CaptureBase_DataPiracy_Alt.dialogueList8.dialogueContent2.words";"Uh, folks? I just spotted more engine signatures -- 'Mechs powering up. More bad guys are on their way to you, boss.";"Uh, folks? I just spotted more engine signatures -- 'Mechs powering up. More bad guys are on their way to you, boss.";;;
"CaptureBase_DataPiracy_Alt.dialogueList8.dialogueContent3.words";"Just like that time on Axylus, hm? Don't worry; I work well under pressure.";"Just like that time on Axylus, hm? Don't worry; I work well under pressure.";;;
"CaptureBase_DataPiracy_Alt.longDescription";"This shouldn't be all that difficult, but we'll need Dr. Murad on the ground to do the actual data hacking. She's already agreed to go in with your team.";"This shouldn't be all that difficult, but we'll need Dr. Murad on the ground to do the actual data hacking. She's already agreed to go in with your team.";;;
"CaptureBase_DataPiracy_Alt.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_DataPiracy_Alt.objectiveList0.title";"Scout the Facility";"Scout the Facility";;;
"CaptureBase_DataPiracy_Alt.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_DataPiracy_Alt.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Defenders";"Destroy the {TEAM_TAR.FactionDef.Demonym} Defenders";;;
"CaptureBase_DataPiracy_Alt.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_DataPiracy_Alt.objectiveList2.title";"Capture the Base with Friendly 'Mechs";"Capture the Base with Friendly 'Mechs";;;
"CaptureBase_DataPiracy_Alt.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_DataPiracy_Alt.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_DataPiracy_Alt.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_DataPiracy_Alt.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_DataPiracy_Alt.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_DataPiracy_Alt.objectiveList5.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy the {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_DataPiracy_Alt.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_DataPiracy_Alt.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_DataPiracy_Alt.shortDescription";"We've been monitoring communications traffic on {TGT_SYSTEM.name}, and discerned a pattern. There's a well-defended {TEAM_TAR.FactionDef.Demonym} base that we suspect of being a secure data storage facility. We'd like your team to land, capture the base, and take a complete image of the contents of their databases. Once the {TEAM_TAR.FactionDef.Demonym} forces realize what we're doing, they'll launch a counteroffensive, so we'll need you to stay in the field until the download is complete.";"We've been monitoring communications traffic on {TGT_SYSTEM.name}, and discerned a pattern. There's a well-defended {TEAM_TAR.FactionDef.Demonym} base that we suspect of being a secure data storage facility. We'd like your team to land, capture the base, and take a complete image of the contents of their databases. Once the {TEAM_TAR.FactionDef.Demonym} forces realize what we're doing, they'll launch a counteroffensive, so we'll need you to stay in the field until the download is complete.";;;
"CaptureBase_FormOfFlattery_Hard.contractName";"Clandestine Research";"Clandestine Research";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList0.dialogueContent0.words";"We're here to capture the {TEAM_TAR.FactionDef.Demonym} research station.";"We're here to capture the {TEAM_TAR.FactionDef.Demonym} research station.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList0.dialogueContent1.words";"Let's get our forces to a position where we can better observe the enemy movements, and get eyes on the facility.";"Let's get our forces to a position where we can better observe the enemy movements, and get eyes on the facility.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList0.dialogueContent2.words";"Eliminate opposition and take control of the territory, Commander.";"Eliminate opposition and take control of the territory, Commander.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList1.dialogueContent0.words";"The research station is under our control, Commander.";"The research station is under our control, Commander.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList1.dialogueContent1.words";"We're ready to send in the extraction ships, for you and the scientists.";"We're ready to send in the extraction ships, for you and the scientists.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList1.dialogueContent2.words";"Sit tight, Commander. I think {TEAM_EMP.FactionDef.ShortName} will be pleased with the results.";"Sit tight, Commander. I think {TEAM_EMP.FactionDef.ShortName} will be pleased with the results.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList2.dialogueContent0.words";"We won't be able to take this one. Pack it in, Commander.";"We won't be able to take this one. Pack it in, Commander.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList7.dialogueContent0.words";"Commander, a word of warning: we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning: we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList8.dialogueContent0.words";"Alright, you should have good view of the research facility now.";"Alright, you should have good view of the research facility now.";;;
"CaptureBase_FormOfFlattery_Hard.dialogueList8.dialogueContent1.words";"Be careful of additional forces. Reports are they have additional units in the area that are rallying back at the base. Expect contact.";"Be careful of additional forces. Reports are they have additional units in the area that are rallying back at the base. Expect contact.";;;
"CaptureBase_FormOfFlattery_Hard.longDescription";"Commander, plausible deniability is our specialty.";"Commander, plausible deniability is our specialty.";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList0.title";"Scout the Research Station";"Scout the Research Station";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Forces";"Destroy the {TEAM_TAR.FactionDef.Demonym} Forces";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList2.title";"Occupy the Research Station";"Occupy the Research Station";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList3.title";"Hold the Station while Reinforcements Arrive";"Hold the Station while Reinforcements Arrive";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList4.title";"Pacify the Area Around the Research Station";"Pacify the Area Around the Research Station";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_FormOfFlattery_Hard.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_FormOfFlattery_Hard.shortDescription";"We have long suspected that there is a {TEAM_TAR.FactionDef.Demonym} research station hidden in the {TGT_SYSTEM.name} system, and we've finally gotten wind of its possible location. We need a few brave, and plausibly deniable, mercenaries to secure the location for a dropship extraction of any valuable scientific personnel.";"We have long suspected that there is a {TEAM_TAR.FactionDef.Demonym} research station hidden in the {TGT_SYSTEM.name} system, and we've finally gotten wind of its possible location. We need a few brave, and plausibly deniable, mercenaries to secure the location for a dropship extraction of any valuable scientific personnel.";;;
"CaptureBase_Lodgement.contractName";"Lodgement";"Lodgement";;;
"CaptureBase_Lodgement.dialogueList0.dialogueContent0.words";"I don't like dropping dark like this. Meyer, we need some eyes on the target. Any thoughts?";"I don't like dropping dark like this. Meyer, we need some eyes on the target. Any thoughts?";;;
"CaptureBase_Lodgement.dialogueList0.dialogueContent1.words";"Um, let me look... Okay, this location seems like a good vantage point. You should be able to see the facility from there.";"Um, let me look... Okay, this location seems like a good vantage point. You should be able to see the facility from there.";;;
"CaptureBase_Lodgement.dialogueList0.dialogueContent2.words";"Roger. Commander, move up to the location Meyer indicated, and we'll make a plan from there.";"Roger. Commander, move up to the location Meyer indicated, and we'll make a plan from there.";;;
"CaptureBase_Lodgement.dialogueList1.dialogueContent0.words";"We're in control of the area, Commander. I'll signal to the {TEAM_EMP.FactionDef.Demonym} forces to begin their landing. Good work.";"We're in control of the area, Commander. I'll signal to the {TEAM_EMP.FactionDef.Demonym} forces to begin their landing. Good work.";;;
"CaptureBase_Lodgement.dialogueList2.dialogueContent0.words";"I'll have to signal to our employers to call off their landing. Disappointing.";"I'll have to signal to our employers to call off their landing. Disappointing.";;;
"CaptureBase_Lodgement.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_Lodgement.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_Lodgement.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_Lodgement.dialogueList6.dialogueContent0.words";"Dropship inbound for landing! We're going to get in and out quick!";"Dropship inbound for landing! We're going to get in and out quick!";;;
"CaptureBase_Lodgement.dialogueList7.dialogueContent0.words";"I'm seeing turrets powering up around the facility, boss.";"I'm seeing turrets powering up around the facility, boss.";;;
"CaptureBase_Lodgement.dialogueList8.dialogueContent0.words";"There's the facility, Commander. As we expected, it's heavily defended. Be cautious.";"There's the facility, Commander. As we expected, it's heavily defended. Be cautious.";;;
"CaptureBase_Lodgement.dialogueList8.dialogueContent1.words";"I'm seeing more 'Mech engine signatures approaching the base. Looks like there's going to be more company coming.";"I'm seeing more 'Mech engine signatures approaching the base. Looks like there's going to be more company coming.";;;
"CaptureBase_Lodgement.longDescription";"We're going to land in a hot AO, with no idea where we are, capture a well-defended military facility, and hold it against a counter-attack. What could go wrong?";"We're going to land in a hot AO, with no idea where we are, capture a well-defended military facility, and hold it against a counter-attack. What could go wrong?";;;
"CaptureBase_Lodgement.objectiveList0.description";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";"The objective to scout the base that is being captured. Must be completed before the actual capture of the base.";;;
"CaptureBase_Lodgement.objectiveList0.title";"Scout the Facility";"Scout the Facility";;;
"CaptureBase_Lodgement.objectiveList1.description";"The objective to optionally destroy the defenders of the base.";"The objective to optionally destroy the defenders of the base.";;;
"CaptureBase_Lodgement.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Defenders";"Destroy the {TEAM_TAR.FactionDef.Demonym} Defenders";;;
"CaptureBase_Lodgement.objectiveList2.description";"The objective for the player to move into and capture the base.";"The objective for the player to move into and capture the base.";;;
"CaptureBase_Lodgement.objectiveList2.title";"Capture the Base with Friendly 'Mechs";"Capture the Base with Friendly 'Mechs";;;
"CaptureBase_Lodgement.objectiveList3.description";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";"HIDDEN TIMER, NO NEED TO EDIT: This is the hidden timer objective that will trigger the enemy reinforcements.";;;
"CaptureBase_Lodgement.objectiveList3.title";"Hold Out as Enemies Counter Attack";"Hold Out as Enemies Counter Attack";;;
"CaptureBase_Lodgement.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_Lodgement.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_Lodgement.objectiveList5.description";"The primary objective to destroy the force that tries to remove the player from the captured base.";"The primary objective to destroy the force that tries to remove the player from the captured base.";;;
"CaptureBase_Lodgement.objectiveList5.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy the {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_Lodgement.objectiveList6.description";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";"The chunk controlled objective to destroy the turrets for the base, if the chunk is active.";;;
"CaptureBase_Lodgement.objectiveList6.title";"Eliminate Base Turrets";"Eliminate Base Turrets";;;
"CaptureBase_Lodgement.shortDescription";"Commander, we're preparing a series of operations on {TGT_SYSTEM.name}. However, before we can begin, we need a secure lodgement to bring military units and supplies down to the surface. We've identified a {TEAM_TAR.FactionDef.Demonym} military facility that will be ideal for our purposes. We need you to land a strike force, capture the facility, and hold it until we can bring down our people to secure the location. Because this operation is covert and on an extremely tight schedule, you'll be inserting with no topographical intel.";"Commander, we're preparing a series of operations on {TGT_SYSTEM.name}. However, before we can begin, we need a secure lodgement to bring military units and supplies down to the surface. We've identified a {TEAM_TAR.FactionDef.Demonym} military facility that will be ideal for our purposes. We need you to land a strike force, capture the facility, and hold it until we can bring down our people to secure the location. Because this operation is covert and on an extremely tight schedule, you'll be inserting with no topographical intel.";;;
"CaptureBase_ManufacturingFacility_Hard.contractName";"Capturing Production";"Capturing Production";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList0.dialogueContent0.words";"The manufacturing facility is just ahead, Commander.";"The manufacturing facility is just ahead, Commander.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList0.dialogueContent1.words";"Before we start our attack, we should recon the facility's defenses from a defensible position.";"Before we start our attack, we should recon the facility's defenses from a defensible position.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList0.dialogueContent2.words";"Once that's done, we'll move in and capture the base. Good luck, Commander.";"Once that's done, we'll move in and capture the base. Good luck, Commander.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList1.dialogueContent0.words";"That's it. We've taken control of the facility, Commander.";"That's it. We've taken control of the facility, Commander.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList1.dialogueContent1.words";"Given what we've seen here, I'm guessing {TEAM_EMP.FactionDef.ShortName} will be very pleased with our work.";"Given what we've seen here, I'm guessing {TEAM_EMP.FactionDef.ShortName} will be very pleased with our work.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList2.dialogueContent0.words";"Doesn't seem like we're going to be able to win this one, Commander.";"Doesn't seem like we're going to be able to win this one, Commander.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList3.dialogueContent0.words";"Bogeys on sensors!";"Bogeys on sensors!";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList4.dialogueContent0.words";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";"[GENERIC VO] Area is not clear, Commander. Eliminate the hostiles before continuing to the next Objective.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList5.dialogueContent0.words";"[GENERIC VO] Sensors are clear, proceed to the next objective.";"[GENERIC VO] Sensors are clear, proceed to the next objective.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList6.dialogueContent0.words";"Dropship inbound for landing, Commander. Once they secure the facility, we're dusting off.";"Dropship inbound for landing, Commander. Once they secure the facility, we're dusting off.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList7.dialogueContent0.words";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";"Commander, a word of warning, we have reports this base may have gun emplacements for point defense.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList7.dialogueContent1.words";"Turrets, boss. Just keep an eye out in case they are online.";"Turrets, boss. Just keep an eye out in case they are online.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList8.dialogueContent0.words";"That's a Star League era manufacturing facility, all right. No wonder {TEAM_EMP.FactionDef.Name} wants it so bad.";"That's a Star League era manufacturing facility, all right. No wonder {TEAM_EMP.FactionDef.Name} wants it so bad.";;;
"CaptureBase_ManufacturingFacility_Hard.dialogueList8.dialogueContent1.words";"Be careful of reinforcements. We're getting intel that there are additional enemy forces rallying to the facility.";"Be careful of reinforcements. We're getting intel that there are additional enemy forces rallying to the facility.";;;
"CaptureBase_ManufacturingFacility_Hard.longDescription";"They haven't told us what, precisely, the facility is producing, but given the strength of enemy forces on the ground, it's something worth protecting.";"They haven't told us what, precisely, the facility is producing, but given the strength of enemy forces on the ground, it's something worth protecting.";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList0.title";"Scout the Facility";"Scout the Facility";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList1.title";"Destroy the {TEAM_TAR.FactionDef.Demonym} Garrison";"Destroy the {TEAM_TAR.FactionDef.Demonym} Garrison";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList2.title";"Occupy the Facility";"Occupy the Facility";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList3.description";"Hidden";"Hidden";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList3.title";"Hold the Facility Until Reinforcements Arrive";"Hold the Facility Until Reinforcements Arrive";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList4.description";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";"This is a general objective to indicate the player must keep playing and eliminate enemies as they come.";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList4.title";"Pacify the Area around the Base";"Pacify the Area around the Base";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"CaptureBase_ManufacturingFacility_Hard.objectiveList6.title";"Destroy Defensive Turrets";"Destroy Defensive Turrets";;;
"CaptureBase_ManufacturingFacility_Hard.shortDescription";"We've discovered that {TEAM_TAR.FactionDef.Name} has reactivated an old manufacturing facility in this system. To maintain the balance of power in this system, {TEAM_EMP.FactionDef.Name} needs to capture this facility. You'll make a surgical strike, occupy the base, and hold it until {TEAM_EMP.FactionDef.Demonym} forces can arrive to take control.";"We've discovered that {TEAM_TAR.FactionDef.Name} has reactivated an old manufacturing facility in this system. To maintain the balance of power in this system, {TEAM_EMP.FactionDef.Name} needs to capture this facility. You'll make a surgical strike, occupy the base, and hold it until {TEAM_EMP.FactionDef.Demonym} forces can arrive to take control.";;;
"CaptureBase_MechFactory.contractName";"Mech Factory";"Mech Factory";;;
"CaptureBase_MechFactory.dialogueList0.dialogueContent0.words";"Sure enough, Commander, there's a lot of comm chatter coming from that factory.";"Sure enough, Commander, there's a lot of comm chatter coming from that factory.";;;
"CaptureBase_MechFactory.dialogueList0.dialogueContent1.words";"Let's move up to a good observation point and recon the facility and its defenders.";"Let's move up to a good observation point and recon the facility and its defenders.";;;
"CaptureBase_MechFactory.dialogueList0.dialogueContent2.words";"Once we know what we're up against, move in and take the factory, Commander. Oliveira out.";"Once we know what we're up against, move in and take the factory, Commander. Oliveira out.";;;
