"DefendBase_AllQuiet_NEW.contractName";"All Quiet On The Western Front";"All Quiet On The Western Front";;;
"DefendBase_AllQuiet_NEW.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_AllQuiet_NEW.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_AllQuiet_NEW.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_AllQuiet_NEW.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_AllQuiet_NEW.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_AllQuiet_NEW.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_AllQuiet_NEW.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_AllQuiet_NEW.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_AllQuiet_NEW.shortDescription";"Hostile {TEAM_TAR.FactionDef.Demonym} forces have been making increasingly bold incursions toward one of our processing facilities on {TGT_SYSTEM.name}. This facility represents a substantial cash investment for {TEAM_EMP.FactionDef.ShortName}, and its destruction would be both politically and financially disastrous. We need a capable mercenary company to defend the site. Payment will be remitted upon the repulsion of all hostile {TEAM_TAR.FactionDef.Demonym} units.";"Hostile {TEAM_TAR.FactionDef.Demonym} forces have been making increasingly bold incursions toward one of our processing facilities on {TGT_SYSTEM.name}. This facility represents a substantial cash investment for {TEAM_EMP.FactionDef.ShortName}, and its destruction would be both politically and financially disastrous. We need a capable mercenary company to defend the site. Payment will be remitted upon the repulsion of all hostile {TEAM_TAR.FactionDef.Demonym} units.";;;
"DefendBase_Foreclosure.contractName";"Foreclosure";"Foreclosure";;;
"DefendBase_Foreclosure.dialogueList0.dialogueContent0.words";"There's something I still don't get, XO. Why did they abandon this place if it's full of stuff valuable enough that they're willing to flatten the place to keep it out of {TEAM_EMP.FactionDef.Demonym} hands?";"There's something I still don't get, XO. Why did they abandon this place if it's full of stuff valuable enough that they're willing to flatten the place to keep it out of {TEAM_EMP.FactionDef.Demonym} hands?";;;
"DefendBase_Foreclosure.dialogueList0.dialogueContent1.words";"No clue. At a guess? It's a trap, and we're springing it.";"No clue. At a guess? It's a trap, and we're springing it.";;;
"DefendBase_Foreclosure.dialogueList0.dialogueContent2.words";"One moment; if we know it's a trap, why are we walking into it?";"One moment; if we know it's a trap, why are we walking into it?";;;
"DefendBase_Foreclosure.dialogueList0.dialogueContent3.words";"Hah! Because they're <i>paying us</i> to.";"Hah! Because they're <i>paying us</i> to.";;;
"DefendBase_Foreclosure.dialogueList0.dialogueContent4.words";"Got it in one, Yang. We're going to turn a handful of 'Mechs into scrap and loot the remains; the specific details aren't really our problem.";"Got it in one, Yang. We're going to turn a handful of 'Mechs into scrap and loot the remains; the specific details aren't really our problem.";;;
"DefendBase_Foreclosure.dialogueList1.dialogueContent0.words";"I hope whatever they found in there was worth it.";"I hope whatever they found in there was worth it.";;;
"DefendBase_Foreclosure.dialogueList1.dialogueContent1.words";"It was worth it to <i>us</i>, Dr. Murad.";"It was worth it to <i>us</i>, Dr. Murad.";;;
"DefendBase_Foreclosure.dialogueList2.dialogueContent0.words";"What a damn disaster. Let's debrief back in orbit.";"What a damn disaster. Let's debrief back in orbit.";;;
"DefendBase_Foreclosure.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";;;
"DefendBase_Foreclosure.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Foreclosure.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_Foreclosure.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_Foreclosure.dialogueList7.dialogueContent0.words";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";;;
"DefendBase_Foreclosure.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Foreclosure.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_Foreclosure.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_Foreclosure.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_Foreclosure.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_Foreclosure.longDescription";"This all seems extremely straightforward, Commander. There will likely be significant opposition, but nothing we haven't handled in the past.";"This all seems extremely straightforward, Commander. There will likely be significant opposition, but nothing we haven't handled in the past.";;;
"DefendBase_Foreclosure.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_Foreclosure.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Foreclosure.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_Foreclosure.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Foreclosure.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_Foreclosure.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_Foreclosure.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_Foreclosure.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Foreclosure.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_Foreclosure.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_Foreclosure.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Foreclosure.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Foreclosure.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Foreclosure.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Foreclosure.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Foreclosure.shortDescription";"Our covert operatives on the planet have located a secret {TEAM_TAR.FactionDef.Demonym} facility that's been abandoned. We have a team inbound to this planet to strip the facility of everything valuable, but our people on the surface tripped some sort of alarm, which means the original owners are probably on their way to level the place and ensure we can't salvage anything. We need you and your people to occupy that base and keep it intact until our team arrives.";"Our covert operatives on the planet have located a secret {TEAM_TAR.FactionDef.Demonym} facility that's been abandoned. We have a team inbound to this planet to strip the facility of everything valuable, but our people on the surface tripped some sort of alarm, which means the original owners are probably on their way to level the place and ensure we can't salvage anything. We need you and your people to occupy that base and keep it intact until our team arrives.";;;
"DefendBase_Foreclosure_Alt.contractName";"Foreclosure";"Foreclosure";;;
"DefendBase_Foreclosure_Alt.dialogueList0.dialogueContent0.words";"There's something I still don't get, XO. Why did they abandon this place if it's full of stuff valuable enough that they're willing to flatten the place to keep it out of {TEAM_EMP.FactionDef.Demonym} hands?";"There's something I still don't get, XO. Why did they abandon this place if it's full of stuff valuable enough that they're willing to flatten the place to keep it out of {TEAM_EMP.FactionDef.Demonym} hands?";;;
"DefendBase_Foreclosure_Alt.dialogueList0.dialogueContent1.words";"No clue. At a guess? It's a trap, and we're springing it.";"No clue. At a guess? It's a trap, and we're springing it.";;;
"DefendBase_Foreclosure_Alt.dialogueList0.dialogueContent2.words";"One moment; if we know it's a trap, why are we walking into it?";"One moment; if we know it's a trap, why are we walking into it?";;;
"DefendBase_Foreclosure_Alt.dialogueList0.dialogueContent3.words";"Hah! Because they're <i>paying us</i> to.";"Hah! Because they're <i>paying us</i> to.";;;
"DefendBase_Foreclosure_Alt.dialogueList0.dialogueContent4.words";"Got it in one, Yang. We're going to turn a handful of 'Mechs into scrap and loot the remains; the specific details aren't really our problem.";"Got it in one, Yang. We're going to turn a handful of 'Mechs into scrap and loot the remains; the specific details aren't really our problem.";;;
"DefendBase_Foreclosure_Alt.dialogueList1.dialogueContent0.words";"I hope whatever they found in there was worth it.";"I hope whatever they found in there was worth it.";;;
"DefendBase_Foreclosure_Alt.dialogueList1.dialogueContent1.words";"No kidding. That was a <i>lot</i> of metal on the field, boss.";"No kidding. That was a <i>lot</i> of metal on the field, boss.";;;
"DefendBase_Foreclosure_Alt.dialogueList2.dialogueContent0.words";"What a damn disaster. Let's debrief back in orbit.";"What a damn disaster. Let's debrief back in orbit.";;;
"DefendBase_Foreclosure_Alt.dialogueList3.dialogueContent0.words";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";"We're in position! All engineers have disembarked from the Personal carriers. The APCs will scatter and support you, keep the Turrets online and we'll keep firing.";;;
"DefendBase_Foreclosure_Alt.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_Foreclosure_Alt.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_Foreclosure_Alt.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_Foreclosure_Alt.dialogueList7.dialogueContent0.words";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";"Commander, there's only one target structure left. If we lose it, we've blown the contract. You have to draw their fire somehow.";;;
"DefendBase_Foreclosure_Alt.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_Foreclosure_Alt.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_Foreclosure_Alt.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_Foreclosure_Alt.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_Foreclosure_Alt.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_Foreclosure_Alt.longDescription";"This all seems straightforward enough, Commander. There will likely be significant opposition, but nothing we haven't handled in the past.";"This all seems straightforward enough, Commander. There will likely be significant opposition, but nothing we haven't handled in the past.";;;
"DefendBase_Foreclosure_Alt.objectiveList0.description";"Defend Targeted Base Structures from Attackers";"Defend Targeted Base Structures from Attackers";;;
"DefendBase_Foreclosure_Alt.objectiveList0.title";"Defend Target Buildings";"Defend Target Buildings";;;
"DefendBase_Foreclosure_Alt.objectiveList1.description";"Destroy the enemy vanguard force, the first wave.";"Destroy the enemy vanguard force, the first wave.";;;
"DefendBase_Foreclosure_Alt.objectiveList1.title";"Destroy the Enemy Vanguard";"Destroy the Enemy Vanguard";;;
"DefendBase_Foreclosure_Alt.objectiveList2.description";"Optional objective to keep ALL target structures intact.";"Optional objective to keep ALL target structures intact.";;;
"DefendBase_Foreclosure_Alt.objectiveList2.title";"All target buildings must survive";"All target buildings must survive";;;
"DefendBase_Foreclosure_Alt.objectiveList3.description";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";"Objective for tracking the time left in the mission. While the player it told to Hold Out for Reinforcements";;;
"DefendBase_Foreclosure_Alt.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_Foreclosure_Alt.objectiveList4.description";"Escort Engineer APCs to Base Defenses in order to take control of them.";"Escort Engineer APCs to Base Defenses in order to take control of them.";;;
"DefendBase_Foreclosure_Alt.objectiveList4.title";"Escort Engineer APCs to Base Defenses";"Escort Engineer APCs to Base Defenses";;;
"DefendBase_Foreclosure_Alt.objectiveList5.description";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Foreclosure_Alt.objectiveList5.title";"Hidden Objective: Destroy the Second Lance";"Hidden Objective: Destroy the Second Lance";;;
"DefendBase_Foreclosure_Alt.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Foreclosure_Alt.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_Foreclosure_Alt.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_Foreclosure_Alt.shortDescription";"Our covert operatives on the planet have located a secret {TEAM_TAR.FactionDef.Demonym} facility that's been abandoned. We have a team inbound to this planet to strip the facility of everything valuable, but our people on the surface tripped some sort of alarm, which means the original owners are probably on their way to level the place and ensure we can't salvage anything. We need you and your people to occupy that base and keep it intact until our team arrives.";"Our covert operatives on the planet have located a secret {TEAM_TAR.FactionDef.Demonym} facility that's been abandoned. We have a team inbound to this planet to strip the facility of everything valuable, but our people on the surface tripped some sort of alarm, which means the original owners are probably on their way to level the place and ensure we can't salvage anything. We need you and your people to occupy that base and keep it intact until our team arrives.";;;
"DefendBase_FrontalAssault_NEW.contractName";"Frontal Assault";"Frontal Assault";;;
"DefendBase_FrontalAssault_NEW.dialogueList0.dialogueContent0.words";"Maybe this will be a quiet contract for once--";"Maybe this will be a quiet contract for once--";;;
"DefendBase_FrontalAssault_NEW.dialogueList0.dialogueContent1.words";"Scratch that, Commander. Orbital imagery is showing multiple incoming hostile contacts.";"Scratch that, Commander. Orbital imagery is showing multiple incoming hostile contacts.";;;
"DefendBase_FrontalAssault_NEW.dialogueList0.dialogueContent2.words";"Buckle up, Commander. This is going to get exciting.";"Buckle up, Commander. This is going to get exciting.";;;
"DefendBase_FrontalAssault_NEW.dialogueList1.dialogueContent0.words";"Excellent work, Commander. A bit more action than advertised, but that's why they pay us the big C-Bills.";"Excellent work, Commander. A bit more action than advertised, but that's why they pay us the big C-Bills.";;;
"DefendBase_FrontalAssault_NEW.dialogueList2.dialogueContent0.words";"Well, that didn't go as planned; {TEAM_EMP.FactionDef.Name} can blame their poor intel.";"Well, that didn't go as planned; {TEAM_EMP.FactionDef.Name} can blame their poor intel.";;;
"DefendBase_FrontalAssault_NEW.dialogueList3.dialogueContent0.words";"Our employer's combat vehicles have arrived and activated the turrets.";"Our employer's combat vehicles have arrived and activated the turrets.";;;
"DefendBase_FrontalAssault_NEW.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_FrontalAssault_NEW.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_FrontalAssault_NEW.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_FrontalAssault_NEW.dialogueList7.dialogueContent0.words";"Only one building still standing, Commander. We're cutting it awfully close, here.";"Only one building still standing, Commander. We're cutting it awfully close, here.";;;
"DefendBase_FrontalAssault_NEW.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_FrontalAssault_NEW.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_FrontalAssault_NEW.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
"DefendBase_FrontalAssault_NEW.dialogueList9.dialogueContent2.words";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";"We have a friendly convoy with engineers who are eager to get at those defenses, so they can bring them online.";;;
"DefendBase_FrontalAssault_NEW.dialogueList9.dialogueContent3.words";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";"Escort them safely to the generators and we can boost our defensive capability with those turrets activated. Good Luck!";;;
"DefendBase_FrontalAssault_NEW.longDescription";"It may or may not be that easy, Commander. We may be a bit behind the front lines, but a FOB is an attractive target for our prospective employer's enemies.";"It may or may not be that easy, Commander. We may be a bit behind the front lines, but a FOB is an attractive target for our prospective employer's enemies.";;;
"DefendBase_FrontalAssault_NEW.objectiveList0.title";"Defend {TEAM_EMP.FactionDef.Demonym} Base";"Defend {TEAM_EMP.FactionDef.Demonym} Base";;;
"DefendBase_FrontalAssault_NEW.objectiveList1.title";"Destroy Enemy Vanguard";"Destroy Enemy Vanguard";;;
"DefendBase_FrontalAssault_NEW.objectiveList2.title";"Ensure All Buildings Survive";"Ensure All Buildings Survive";;;
"DefendBase_FrontalAssault_NEW.objectiveList3.title";"Hold Out for Reinforcements";"Hold Out for Reinforcements";;;
"DefendBase_FrontalAssault_NEW.objectiveList4.title";"Escort friendly vehicles to Base Defenses";"Escort friendly vehicles to Base Defenses";;;
"DefendBase_FrontalAssault_NEW.objectiveList5.title";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";"Destroy {TEAM_TAR.FactionDef.Demonym} Reinforcements";;;
"DefendBase_FrontalAssault_NEW.objectiveList6.description";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_FrontalAssault_NEW.objectiveList6.title";"Hidden Objective: Destroy the Third Lance";"Hidden Objective: Destroy the Third Lance";;;
"DefendBase_FrontalAssault_NEW.objectiveList7.title";"Baddies Inbound";"Baddies Inbound";;;
"DefendBase_FrontalAssault_NEW.shortDescription";"We've established a forward operations base on {TGT_SYSTEM.Name}. We need a competent lance to watch it while our regular forces are on maneuver. You should expect intermittent enemy contact from probing attacks and skirmishers. ";"We've established a forward operations base on {TGT_SYSTEM.Name}. We need a competent lance to watch it while our regular forces are on maneuver. You should expect intermittent enemy contact from probing attacks and skirmishers. ";;;
"DefendBase_GarrisonDuty.contractName";"Garrison Duty";"Garrison Duty";;;
"DefendBase_GarrisonDuty.dialogueList0.dialogueContent0.words";"Maybe this will be a quiet contract for once--";"Maybe this will be a quiet contract for once--";;;
"DefendBase_GarrisonDuty.dialogueList0.dialogueContent1.words";"Scratch that, Commander. Orbital imagery is showing multiple incoming hostile contacts.";"Scratch that, Commander. Orbital imagery is showing multiple incoming hostile contacts.";;;
"DefendBase_GarrisonDuty.dialogueList0.dialogueContent2.words";"Buckle up, Commander. This is going to get exciting.";"Buckle up, Commander. This is going to get exciting.";;;
"DefendBase_GarrisonDuty.dialogueList1.dialogueContent0.words";"Excellent work, Commander. A bit more action than advertised, but that's why they pay us the big C-Bills.";"Excellent work, Commander. A bit more action than advertised, but that's why they pay us the big C-Bills.";;;
"DefendBase_GarrisonDuty.dialogueList2.dialogueContent0.words";"Well, that didn't go as planned; {TEAM_EMP.FactionDef.Name} can blame their poor intel.";"Well, that didn't go as planned; {TEAM_EMP.FactionDef.Name} can blame their poor intel.";;;
"DefendBase_GarrisonDuty.dialogueList3.dialogueContent0.words";"Friendlies are inside the wire and the turrets are coming online.";"Friendlies are inside the wire and the turrets are coming online.";;;
"DefendBase_GarrisonDuty.dialogueList4.dialogueContent0.words";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";"Warning commander, sensors are reading multiple contacts approaching from multiple vectors. Looks like the attacking force has brought reinforcements. ";;;
"DefendBase_GarrisonDuty.dialogueList5.dialogueContent0.words";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";"Be advised, some of the target buildings are sustaining damage. Your mission is to keep them standing. ";;;
"DefendBase_GarrisonDuty.dialogueList6.dialogueContent0.words";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";"Commander, a target building has been demolished. Ensure the integrity of the remaining buildings.";;;
"DefendBase_GarrisonDuty.dialogueList7.dialogueContent0.words";"Commander, we can't afford to lose any more structures, or we'll be in breach of the contract.";"Commander, we can't afford to lose any more structures, or we'll be in breach of the contract.";;;
"DefendBase_GarrisonDuty.dialogueList8.dialogueContent0.words";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";"Mercenary Commander, we've received word of the assault on your position. Reinforcements are incoming, they are about halfway there. Maintain position and you will be relieved and reinforced shortly. ";;;
"DefendBase_GarrisonDuty.dialogueList9.dialogueContent0.words";"Commander, on this outing we have some additional support from our employer.";"Commander, on this outing we have some additional support from our employer.";;;
"DefendBase_GarrisonDuty.dialogueList9.dialogueContent1.words";"They have point defenses set up around the base, they are however offline.";"They have point defenses set up around the base, they are however offline.";;;
